Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 25
Outliers - relax: 0, rightarm: 0, leftarm: 1
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 22
Outliers - relax: 0, rightarm: 0, leftarm: 4
Good - relax: 26, rightarm: 25, leftarm: 26
Outliers - relax: 0, rightarm: 1, leftarm: 0
Good - relax: 23, rightarm: 24, leftarm: 26
Outliers - relax: 3, rightarm: 2, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 25, rightarm: 23, leftarm: 26
Outliers - relax: 1, rightarm: 3, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 25
Outliers - relax: 0, rightarm: 0, leftarm: 1
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 25
Outliers - relax: 0, rightarm: 0, leftarm: 1
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 22
Outliers - relax: 0, rightarm: 0, leftarm: 4
Good - relax: 26, rightarm: 25, leftarm: 26
Outliers - relax: 0, rightarm: 1, leftarm: 0
Good - relax: 23, rightarm: 24, leftarm: 26
Outliers - relax: 3, rightarm: 2, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 26
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 25, rightarm: 23, leftarm: 26
Outliers - relax: 1, rightarm: 3, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 25
Outliers - relax: 0, rightarm: 0, leftarm: 1
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 25, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 1
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 25, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 1
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 24, rightarm: 26, leftarm: 0
Outliers - relax: 1, rightarm: 2, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 23, rightarm: 26, leftarm: 0
Outliers - relax: 1, rightarm: 3, leftarm: 0
Good - relax: 26, rightarm: 25, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 1
