,final_val_accuracy,final_val_f1,full_valacc,full_acc_classes
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_csp_filtord3_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz', '25_30Hz', '30_35Hz']_ws375.pkl",0.47923960391831877,0.4639002482744994,"[0.38095238095238093, 0.6144578313253012, 0.4523809523809524, 0.6024096385542169, 0.46987951807228917, 0.5119047619047619, 0.5308641975308642, 0.2976190476190476, 0.45, 0.4819277108433735]","[array([0.5       , 0.42857143, 0.21428571]), array([0.5       , 0.89285714, 0.44444444]), array([0.35714286, 0.67857143, 0.32142857]), array([0.75      , 0.42857143, 0.62962963]), array([0.64285714, 0.75      , 0.        ]), array([0.67857143, 0.35714286, 0.5       ]), array([0.51851852, 0.84615385, 0.25      ]), array([0.39285714, 0.32142857, 0.17857143]), array([0.51851852, 0.24      , 0.57142857]), array([0.89285714, 0.21428571, 0.33333333])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_csp_filtord3_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz', '25_30Hz', '30_35Hz']_ws500.pkl",0.4662167922167922,0.45358949698683704,"[0.38461538461538464, 0.5584415584415584, 0.46153846153846156, 0.5769230769230769, 0.38961038961038963, 0.6025641025641025, 0.5733333333333334, 0.2692307692307692, 0.3783783783783784, 0.4675324675324675]","[array([0.5       , 0.38461538, 0.26923077]), array([0.5       , 0.69230769, 0.48      ]), array([0.30769231, 0.65384615, 0.42307692]), array([0.80769231, 0.38461538, 0.53846154]), array([0.57692308, 0.57692308, 0.        ]), array([0.69230769, 0.53846154, 0.57692308]), array([0.64      , 0.79166667, 0.30769231]), array([0.30769231, 0.30769231, 0.19230769]), array([0.56      , 0.08695652, 0.46153846]), array([0.88461538, 0.19230769, 0.32      ])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_csp_filtord2_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz', '25_30Hz', '30_35Hz']_ws500.pkl",0.45483761283761287,0.438252500213685,"[0.4230769230769231, 0.5714285714285714, 0.3974358974358974, 0.6666666666666666, 0.37662337662337664, 0.47435897435897434, 0.5866666666666667, 0.24358974358974358, 0.4189189189189189, 0.38961038961038963]","[array([0.42307692, 0.42307692, 0.42307692]), array([0.65384615, 0.80769231, 0.24      ]), array([0.26923077, 0.76923077, 0.15384615]), array([0.73076923, 0.57692308, 0.69230769]), array([0.65384615, 0.46153846, 0.        ]), array([0.61538462, 0.38461538, 0.42307692]), array([0.52      , 0.79166667, 0.46153846]), array([0.23076923, 0.30769231, 0.19230769]), array([0.52      , 0.26086957, 0.46153846]), array([0.73076923, 0.26923077, 0.16      ])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_csp_filtord2_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz']_ws500.pkl",0.451005445005445,0.434656209061861,"[0.38461538461538464, 0.6363636363636364, 0.41025641025641024, 0.47435897435897434, 0.33766233766233766, 0.48717948717948717, 0.56, 0.34615384615384615, 0.4189189189189189, 0.45454545454545453]","[array([0.46153846, 0.5       , 0.19230769]), array([0.73076923, 0.88461538, 0.28      ]), array([0.38461538, 0.73076923, 0.11538462]), array([0.61538462, 0.46153846, 0.34615385]), array([0.46153846, 0.34615385, 0.2       ]), array([0.65384615, 0.38461538, 0.42307692]), array([0.4       , 0.54166667, 0.73076923]), array([0.23076923, 0.57692308, 0.23076923]), array([0.56      , 0.2173913 , 0.46153846]), array([0.96153846, 0.11538462, 0.28      ])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_csp_filtord4_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz', '25_30Hz', '30_35Hz']_ws500.pkl",0.44000475200475203,0.4171015519054169,"[0.38461538461538464, 0.5974025974025974, 0.41025641025641024, 0.48717948717948717, 0.42857142857142855, 0.5384615384615384, 0.5466666666666666, 0.32051282051282054, 0.28378378378378377, 0.4025974025974026]","[array([0.5       , 0.38461538, 0.26923077]), array([0.53846154, 0.96153846, 0.28      ]), array([0.34615385, 0.61538462, 0.26923077]), array([0.73076923, 0.30769231, 0.42307692]), array([0.5       , 0.76923077, 0.        ]), array([0.65384615, 0.38461538, 0.57692308]), array([0.48      , 0.75      , 0.42307692]), array([0.46153846, 0.19230769, 0.30769231]), array([0.68      , 0.        , 0.15384615]), array([0.88461538, 0.19230769, 0.12      ])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_csp_filtord3_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz']_ws500.pkl",0.4358535158535159,0.42102725334969093,"[0.3333333333333333, 0.5324675324675324, 0.4358974358974359, 0.4358974358974359, 0.33766233766233766, 0.48717948717948717, 0.5333333333333333, 0.3076923076923077, 0.5135135135135135, 0.44155844155844154]","[array([0.26923077, 0.42307692, 0.30769231]), array([0.53846154, 0.73076923, 0.32      ]), array([0.5       , 0.61538462, 0.19230769]), array([0.57692308, 0.30769231, 0.42307692]), array([0.61538462, 0.38461538, 0.        ]), array([0.69230769, 0.38461538, 0.38461538]), array([0.44      , 0.79166667, 0.38461538]), array([0.19230769, 0.57692308, 0.15384615]), array([0.64      , 0.30434783, 0.57692308]), array([0.84615385, 0.23076923, 0.24      ])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_csp_filtord2_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz', '25_30Hz', '30_35Hz']_ws375.pkl",0.43183081532479123,0.4082050587505739,"[0.32142857142857145, 0.5542168674698795, 0.4166666666666667, 0.5421686746987951, 0.3855421686746988, 0.4880952380952381, 0.4074074074074074, 0.36904761904761907, 0.4, 0.43373493975903615]","[array([0.42857143, 0.42857143, 0.10714286]), array([0.5       , 0.96428571, 0.18518519]), array([0.35714286, 0.67857143, 0.21428571]), array([0.67857143, 0.5       , 0.44444444]), array([0.75      , 0.39285714, 0.        ]), array([0.60714286, 0.35714286, 0.5       ]), array([0.25925926, 0.69230769, 0.28571429]), array([0.32142857, 0.64285714, 0.14285714]), array([0.59259259, 0.28      , 0.32142857]), array([0.75      , 0.35714286, 0.18518519])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_csp_filtord2_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz']_ws375.pkl",0.4233992849705701,0.40307038372900406,"[0.30952380952380953, 0.5662650602409639, 0.38095238095238093, 0.4457831325301205, 0.3855421686746988, 0.4523809523809524, 0.35802469135802467, 0.4642857142857143, 0.4375, 0.43373493975903615]","[array([0.25      , 0.46428571, 0.21428571]), array([0.46428571, 0.82142857, 0.40740741]), array([0.28571429, 0.78571429, 0.07142857]), array([0.64285714, 0.39285714, 0.2962963 ]), array([0.71428571, 0.42857143, 0.        ]), array([0.67857143, 0.28571429, 0.39285714]), array([0.14814815, 0.42307692, 0.5       ]), array([0.32142857, 0.75      , 0.32142857]), array([0.48148148, 0.4       , 0.42857143]), array([0.78571429, 0.32142857, 0.18518519])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_csp_filtord3_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz']_ws250.pkl",0.41478236406576785,0.3983317953695068,"[0.32222222222222224, 0.5168539325842697, 0.35555555555555557, 0.5, 0.3595505617977528, 0.4666666666666667, 0.367816091954023, 0.4, 0.4883720930232558, 0.3707865168539326]","[array([0.33333333, 0.4       , 0.23333333]), array([0.43333333, 0.8       , 0.31034483]), array([0.4       , 0.5       , 0.16666667]), array([0.53333333, 0.63333333, 0.32142857]), array([0.66666667, 0.4       , 0.        ]), array([0.63333333, 0.4       , 0.36666667]), array([0.13793103, 0.57142857, 0.4       ]), array([0.33333333, 0.6       , 0.26666667]), array([0.51724138, 0.48148148, 0.46666667]), array([0.7       , 0.16666667, 0.24137931])]"
"crossval_data\pilots\intermediate_datafiles\preprocess\X01_wet\X01_wet_csp_filtord4_freqlimits['5_10Hz', '10_15Hz', '15_20Hz', '20_25Hz']_ws375.pkl",0.41181392235609104,0.3957382164928443,"[0.38095238095238093, 0.5301204819277109, 0.4166666666666667, 0.39759036144578314, 0.27710843373493976, 0.44047619047619047, 0.4444444444444444, 0.34523809523809523, 0.5, 0.3855421686746988]","[array([0.46428571, 0.5       , 0.17857143]), array([0.53571429, 0.67857143, 0.37037037]), array([0.35714286, 0.75      , 0.14285714]), array([0.46428571, 0.35714286, 0.37037037]), array([0.53571429, 0.28571429, 0.        ]), array([0.60714286, 0.28571429, 0.42857143]), array([0.25925926, 0.65384615, 0.42857143]), array([0.25      , 0.60714286, 0.17857143]), array([0.59259259, 0.4       , 0.5       ]), array([0.78571429, 0.21428571, 0.14814815])]"
