,final_train_accuracy,final_val_accuracy,final_train_f1,final_val_f1,full_trainacc,full_valacc
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,77.3457,57.863299999999995,76.6537,67.09713333333333,"[78.53733333333332, 79.72500000000001, 73.55166666666668, 78.49000000000001, 79.867, 76.25866666666667, 74.92866666666667, 78.3, 78.44266666666667, 75.35600000000001]","[67.09433333333332, 67.09433333333334, 54.700666666666656, 55.98266666666666, 65.81233333333334, 64.52999999999999, 41.025666666666666, 50.42733333333334, 59.401666666666664, 52.564]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['8-40Hz']_ws500.pkl,78.604,57.26493333333333,77.96876666666665,66.1765,"[79.962, 82.81099999999999, 75.404, 79.34466666666667, 80.86433333333333, 77.35033333333334, 76.21066666666667, 77.11300000000001, 78.53733333333334, 78.44266666666667]","[61.11066666666667, 67.52166666666666, 50.0, 57.692, 66.667, 62.82066666666666, 44.87200000000001, 53.41866666666666, 57.692, 50.85466666666667]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['8_35Hz']_ws500.pkl,77.08930000000001,57.13676666666667,76.39970000000001,67.08023333333334,"[78.585, 77.873, 73.17200000000001, 78.15766666666667, 77.92033333333333, 78.44266666666668, 74.69133333333333, 75.68833333333335, 80.24666666666667, 76.116]","[60.25666666666667, 67.52166666666666, 51.709333333333326, 55.55533333333333, 69.231, 61.538333333333334, 41.026, 52.564, 57.692, 54.27333333333333]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,77.64483333333334,57.05126666666668,76.88936666666667,65.8439,"[79.62966666666667, 78.82233333333333, 72.79233333333333, 78.44266666666668, 79.155, 77.82533333333333, 75.02366666666667, 77.635, 79.43966666666667, 77.68266666666666]","[67.949, 64.10266666666666, 51.709333333333326, 55.55533333333333, 65.38499999999999, 58.11933333333334, 42.73533333333334, 54.70066666666667, 58.974, 51.282000000000004]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['8-40Hz']_ws500.pkl,77.90596666666667,56.5812,77.34946666666666,66.19066666666666,"[78.34766666666665, 81.19666666666666, 75.21366666666667, 76.40100000000001, 80.53166666666668, 77.16033333333333, 74.074, 77.49266666666666, 77.01799999999999, 81.62400000000001]","[62.39333333333334, 65.812, 47.00866666666667, 53.846000000000004, 64.53, 63.67533333333333, 44.87199999999999, 53.41866666666667, 58.11933333333334, 52.13666666666666]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws375.pkl,72.7248,56.26986666666666,72.69926666666666,60.85519999999999,"[72.66333333333334, 75.44066666666667, 68.73900000000002, 75.92566666666666, 72.97166666666665, 72.707, 70.85533333333333, 73.10433333333333, 72.53066666666666, 72.31033333333333]","[59.127, 64.68266666666666, 48.016, 55.55533333333333, 63.095333333333336, 60.714333333333336, 42.06366666666667, 57.93633333333333, 58.730333333333334, 52.77766666666667]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['8_35Hz']_ws500.pkl,77.43596666666666,56.1111,76.68973333333334,64.84003333333334,"[75.97333333333334, 82.71633333333334, 73.78933333333333, 81.00666666666667, 78.68, 77.54066666666667, 73.12433333333333, 74.64366666666666, 81.102, 75.78333333333335]","[60.25633333333334, 64.103, 53.846000000000004, 56.83733333333333, 65.385, 58.54666666666666, 44.44466666666667, 52.99133333333333, 55.98266666666667, 48.717999999999996]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws375.pkl,71.7902,55.87296666666666,71.7637,60.768100000000004,"[75.22066666666666, 72.48666666666666, 69.048, 75.485, 71.73733333333332, 70.98766666666667, 68.69500000000001, 71.42866666666667, 72.531, 70.282]","[57.14266666666666, 62.30166666666667, 48.016, 53.967999999999996, 65.07933333333334, 61.507666666666665, 42.46066666666667, 57.93633333333333, 58.730333333333334, 51.586999999999996]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['4-40Hz']_ws500.pkl,78.38086666666668,55.51283333333333,77.67296666666667,64.05909999999999,"[81.24433333333333, 81.14933333333333, 71.93733333333334, 79.05966666666666, 80.34166666666668, 80.247, 75.35600000000001, 79.53500000000001, 79.91466666666666, 75.02366666666667]","[59.82900000000001, 67.09433333333334, 46.58133333333333, 55.98266666666666, 63.675666666666665, 59.40133333333333, 47.00866666666667, 51.709333333333326, 55.55533333333333, 48.290666666666674]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['8-40Hz']_ws375.pkl,71.79456666666667,54.88083333333334,71.75666666666666,59.690599999999996,"[71.73700000000001, 75.13233333333334, 69.40033333333334, 72.002, 74.69133333333333, 73.01566666666668, 70.67933333333333, 69.709, 72.972, 68.60666666666667]","[58.333333333333336, 62.69833333333333, 51.19, 53.571, 59.92066666666667, 58.73, 40.476333333333336, 56.746, 59.92033333333333, 47.22233333333333]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['8-40Hz']_ws375.pkl,72.94973333333334,54.76196666666666,72.9331,58.908333333333324,"[72.79533333333333, 76.71933333333334, 70.85533333333335, 73.85333333333334, 74.77933333333334, 73.80966666666667, 69.17999999999999, 69.75333333333333, 75.00033333333334, 72.75133333333333]","[59.127, 60.31733333333333, 50.0, 51.58733333333333, 59.92066666666667, 61.508, 44.048, 54.365, 58.333333333333336, 48.413000000000004]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['8_35Hz']_ws375.pkl,72.4294,54.761833333333335,72.36846666666665,59.152466666666655,"[72.619, 74.82366666666667, 67.94533333333334, 73.28066666666666, 73.41266666666667, 73.192, 70.63466666666666, 73.192, 74.64733333333334, 70.54666666666667]","[59.524, 57.93633333333333, 50.39666666666667, 51.190333333333335, 58.73, 58.333333333333336, 42.06366666666667, 57.143, 59.523666666666664, 52.77733333333333]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['4-35Hz']_ws500.pkl,79.21180000000001,54.7436,78.50126666666667,63.206566666666674,"[80.29433333333333, 82.47833333333334, 75.87866666666666, 77.16033333333333, 82.906, 81.24433333333333, 78.63233333333334, 79.58233333333334, 79.81966666666666, 74.12166666666667]","[58.547, 67.09433333333332, 47.86333333333334, 53.846000000000004, 61.965666666666664, 57.26500000000001, 44.87199999999999, 50.0, 56.41, 49.57266666666667]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['8_35Hz']_ws375.pkl,72.44273333333334,54.7221,72.34503333333335,59.452566666666655,"[73.986, 74.515, 67.46033333333334, 72.35433333333333, 73.633, 73.942, 68.651, 72.79533333333333, 75.44099999999999, 71.64933333333333]","[55.15833333333333, 59.523666666666664, 49.603, 53.17433333333333, 61.111, 60.31766666666667, 37.69833333333333, 57.53966666666667, 59.523666666666664, 53.571333333333335]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['4-35Hz']_ws500.pkl,79.8006,54.27349999999999,79.09496666666666,63.153099999999995,"[82.47866666666668, 83.52333333333333, 74.54899999999999, 82.52600000000001, 82.71633333333334, 81.624, 73.78933333333333, 79.29700000000001, 81.054, 76.44833333333334]","[56.410000000000004, 69.65833333333333, 48.717999999999996, 52.564, 62.393333333333324, 55.12799999999999, 43.16266666666667, 51.709333333333326, 57.26466666666666, 45.72666666666667]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['4-35Hz']_ws500.pkl,80.25156666666666,54.18799999999999,79.61739999999999,62.36673333333333,"[80.05666666666667, 83.80799999999999, 76.97066666666667, 80.342, 84.18766666666666, 83.33333333333333, 78.82233333333333, 77.06533333333334, 81.62400000000001, 76.30566666666667]","[56.83733333333333, 70.51299999999999, 46.153999999999996, 55.55533333333333, 60.68366666666666, 55.98266666666666, 44.87200000000001, 50.0, 54.27333333333333, 47.00866666666667]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['4-40Hz']_ws500.pkl,81.31530000000001,54.10253333333334,80.73246666666667,62.54703333333333,"[80.15166666666666, 84.42533333333334, 76.02066666666667, 82.66866666666668, 85.99266666666666, 81.57633333333332, 79.24966666666667, 81.38666666666667, 83.42866666666667, 78.25266666666667]","[57.26466666666667, 68.80366666666667, 47.00866666666667, 53.41866666666667, 63.24766666666667, 56.41, 44.44466666666667, 51.709333333333326, 55.98266666666667, 42.73533333333333]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['8_35Hz']_ws250.pkl,66.91770000000001,53.66663333333334,66.98166666666667,54.813700000000004,"[65.84366666666666, 68.31266666666666, 64.32099999999998, 66.996, 68.02466666666668, 66.87233333333334, 66.79033333333334, 65.63766666666668, 70.16466666666666, 66.214]","[50.74066666666667, 58.14833333333334, 50.74066666666667, 52.222, 58.51866666666667, 57.77766666666667, 39.99999999999999, 54.814666666666675, 60.0, 53.70366666666666]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws250.pkl,66.90533333333335,53.48153333333333,67.06033333333333,54.27766666666666,"[66.83133333333333, 69.506, 65.63799999999999, 67.03699999999999, 66.54333333333334, 67.28399999999999, 64.73233333333333, 67.07833333333333, 68.43633333333332, 65.96666666666668]","[54.074000000000005, 56.666666666666664, 48.51866666666666, 57.03733333333333, 55.55566666666667, 58.148, 37.03733333333333, 54.44433333333333, 58.51866666666666, 54.814666666666675]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['8-40Hz']_ws250.pkl,67.28813333333332,53.407399999999996,67.54413333333335,54.13416666666667,"[66.62566666666667, 69.21833333333335, 64.52666666666666, 69.67066666666666, 67.65433333333334, 68.313, 62.675000000000004, 67.325, 69.177, 67.69566666666667]","[55.925666666666665, 57.778, 47.03733333333333, 51.48133333333333, 57.037000000000006, 57.03733333333333, 38.148, 53.70366666666666, 61.111, 54.814666666666675]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws250.pkl,67.17280000000001,53.37036666666667,67.4486,54.447133333333326,"[68.47766666666666, 68.18933333333334, 65.14366666666668, 68.27166666666668, 66.502, 67.03699999999999, 63.70366666666666, 67.28399999999999, 70.28766666666667, 66.83133333333335]","[50.74066666666666, 57.77766666666667, 46.666666666666664, 52.592666666666666, 58.14833333333333, 58.889, 41.852, 56.666666666666664, 57.77766666666667, 52.59233333333333]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['4-40Hz']_ws375.pkl,73.52733333333333,53.253933333333336,73.65870000000001,57.80536666666667,"[73.76533333333333, 77.51299999999999, 70.062, 74.471, 74.64733333333334, 75.573, 71.95766666666667, 70.723, 74.33866666666667, 72.22233333333334]","[56.349, 57.93633333333333, 48.41266666666667, 53.571333333333335, 55.55566666666667, 60.31766666666667, 42.85733333333334, 49.60333333333333, 57.14266666666666, 50.79333333333333]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['4-40Hz']_ws500.pkl,78.97426666666667,53.247800000000005,78.349,61.445033333333335,"[80.532, 82.71633333333334, 74.73866666666667, 82.431, 76.40066666666667, 81.86133333333333, 75.07099999999998, 80.294, 80.86399999999999, 74.83366666666667]","[53.846000000000004, 68.37633333333333, 49.14533333333333, 55.12799999999999, 55.12800000000001, 58.974, 40.59833333333333, 50.0, 54.70066666666667, 46.58133333333333]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['8-40Hz']_ws250.pkl,67.34563333333332,53.185133333333326,67.59906666666666,53.67223333333334,"[66.37866666666667, 68.395, 64.48566666666666, 66.255, 68.92999999999999, 68.06566666666667, 64.074, 69.42399999999999, 70.41133333333333, 67.03699999999999]","[53.333, 61.85166666666667, 45.92600000000001, 51.85166666666667, 55.55566666666666, 58.51866666666667, 41.852000000000004, 51.85166666666667, 59.25933333333333, 51.85166666666667]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['4-40Hz']_ws375.pkl,73.60233333333335,52.61900000000001,73.48689999999999,57.25193333333333,"[73.89800000000001, 77.51333333333334, 69.92966666666666, 78.52733333333333, 74.603, 74.33866666666667, 67.94533333333334, 74.55866666666667, 75.882, 68.82733333333333]","[55.15866666666667, 61.904666666666664, 42.857, 52.381, 60.714333333333336, 55.55533333333333, 43.651, 52.381, 54.76166666666666, 46.82533333333333]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['4-40Hz']_ws375.pkl,73.69930000000001,52.261900000000004,73.81723333333335,56.51876666666667,"[75.485, 77.33666666666666, 69.92933333333333, 76.36666666666667, 72.13433333333334, 78.52733333333333, 69.04766666666667, 71.649, 76.14633333333333, 70.37066666666666]","[53.968333333333334, 59.524, 47.22233333333333, 53.967999999999996, 53.571333333333335, 56.746, 42.46033333333333, 45.635333333333335, 56.349, 53.17433333333333]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['4-35Hz']_ws375.pkl,74.85453333333332,52.26183333333332,74.84003333333332,56.35613333333335,"[73.67733333333332, 77.55733333333333, 70.59066666666666, 77.29266666666668, 76.58733333333333, 74.16233333333334, 72.619, 76.23466666666666, 75.48533333333334, 74.33866666666667]","[53.17466666666667, 54.76166666666666, 42.06333333333333, 54.365, 61.111, 55.952, 43.254, 48.413000000000004, 56.746, 52.77766666666667]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['8_35Hz']_ws250.pkl,67.1934,52.22216666666666,67.32773333333333,53.21976666666667,"[67.61333333333334, 69.67066666666666, 63.66233333333333, 66.214, 68.10700000000001, 65.55533333333334, 67.53066666666666, 66.955, 69.09466666666667, 67.531]","[51.852000000000004, 57.407333333333334, 46.29633333333334, 51.48133333333334, 51.85166666666667, 54.074000000000005, 41.111, 54.07399999999999, 58.889, 55.185]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['4-35Hz']_ws375.pkl,72.9453,51.9841,72.83586666666667,57.209799999999994,"[73.545, 78.26266666666668, 70.54633333333334, 74.60333333333334, 74.60333333333332, 74.25033333333333, 65.96133333333334, 72.88366666666667, 75.30866666666667, 69.48833333333334]","[51.58733333333333, 61.508, 44.84133333333333, 51.190333333333335, 58.333333333333336, 55.952333333333335, 40.07933333333333, 50.79366666666667, 55.952333333333335, 49.603]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['4-35Hz']_ws375.pkl,72.56613333333334,51.78573333333334,72.51803333333335,56.55913333333333,"[69.84133333333334, 75.882, 70.10600000000001, 75.66133333333333, 74.33833333333332, 73.50066666666667, 69.88533333333334, 73.85366666666667, 75.04433333333333, 67.54833333333333]","[48.413000000000004, 61.111, 47.619, 51.58733333333333, 55.15866666666667, 57.14266666666666, 43.254, 50.397, 55.15866666666667, 48.016]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['4-35Hz']_ws250.pkl,66.83543333333333,51.29623333333334,67.05733333333333,52.37336666666666,"[68.395, 70.32933333333334, 63.86833333333333, 66.33733333333333, 67.572, 69.54733333333333, 60.98766666666666, 66.91366666666666, 71.31733333333334, 63.086333333333336]","[57.77766666666667, 60.37033333333333, 45.925999999999995, 52.222, 54.81466666666666, 51.48133333333334, 35.55566666666667, 50.37033333333334, 57.40733333333333, 47.037]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['4-35Hz']_ws250.pkl,68.1234,50.8889,68.50489999999999,51.9206,"[68.72433333333333, 71.111, 63.37466666666666, 69.67066666666666, 69.05366666666667, 69.13566666666668, 65.34966666666668, 69.67066666666666, 68.43599999999999, 66.70766666666667]","[51.48133333333334, 60.37033333333334, 43.704, 51.48133333333333, 52.592666666666666, 54.44433333333333, 43.333333333333336, 49.62966666666667, 55.55566666666667, 46.29633333333334]"
