,final_val_accuracy,final_val_f1,full_valacc,full_acc_classes
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8_35Hz']_ws500.pkl,0.5910256410256411,0.5681739446024562,"[0.5256410256410257, 0.7051282051282052, 0.5512820512820513, 0.5384615384615384, 0.6153846153846154, 0.7435897435897436, 0.5, 0.6153846153846154, 0.6538461538461539, 0.46153846153846156]","[array([0.61538462, 0.42307692, 0.53846154]), array([0.61538462, 0.88461538, 0.61538462]), array([0.73076923, 0.38461538, 0.53846154]), array([0.88461538, 0.19230769, 0.53846154]), array([0.30769231, 0.88461538, 0.65384615]), array([0.80769231, 0.88461538, 0.53846154]), array([0.34615385, 0.38461538, 0.76923077]), array([0.84615385, 0.88461538, 0.11538462]), array([0.26923077, 0.84615385, 0.84615385]), array([0.38461538, 1.        , 0.        ])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws500.pkl,0.5897435897435898,0.5653330524908251,"[0.5, 0.717948717948718, 0.5512820512820513, 0.5512820512820513, 0.6025641025641025, 0.7435897435897436, 0.5128205128205128, 0.6025641025641025, 0.6282051282051282, 0.48717948717948717]","[array([0.73076923, 0.46153846, 0.30769231]), array([0.53846154, 0.84615385, 0.76923077]), array([0.80769231, 0.34615385, 0.5       ]), array([0.92307692, 0.19230769, 0.53846154]), array([0.30769231, 0.73076923, 0.76923077]), array([0.80769231, 0.88461538, 0.53846154]), array([0.42307692, 0.38461538, 0.73076923]), array([0.80769231, 0.88461538, 0.11538462]), array([0.23076923, 0.80769231, 0.84615385]), array([0.46153846, 1.        , 0.        ])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['8_35Hz']_ws500.pkl,0.5820512820512821,0.5585501946332657,"[0.5128205128205128, 0.7051282051282052, 0.5641025641025641, 0.5256410256410257, 0.5897435897435898, 0.7307692307692307, 0.48717948717948717, 0.6025641025641025, 0.6282051282051282, 0.47435897435897434]","[array([0.73076923, 0.5       , 0.30769231]), array([0.61538462, 0.88461538, 0.61538462]), array([0.76923077, 0.38461538, 0.53846154]), array([0.88461538, 0.15384615, 0.53846154]), array([0.34615385, 0.69230769, 0.73076923]), array([0.76923077, 0.88461538, 0.53846154]), array([0.30769231, 0.38461538, 0.76923077]), array([0.80769231, 0.88461538, 0.11538462]), array([0.23076923, 0.80769231, 0.84615385]), array([0.42307692, 1.        , 0.        ])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['8_35Hz']_ws500.pkl,0.5807692307692308,0.5542551144355772,"[0.5, 0.6794871794871795, 0.5512820512820513, 0.5256410256410257, 0.6410256410256411, 0.7307692307692307, 0.48717948717948717, 0.5769230769230769, 0.6282051282051282, 0.48717948717948717]","[array([0.73076923, 0.46153846, 0.30769231]), array([0.46153846, 0.92307692, 0.65384615]), array([0.80769231, 0.34615385, 0.5       ]), array([0.92307692, 0.11538462, 0.53846154]), array([0.38461538, 0.76923077, 0.76923077]), array([0.76923077, 0.88461538, 0.53846154]), array([0.34615385, 0.38461538, 0.73076923]), array([0.73076923, 0.88461538, 0.11538462]), array([0.23076923, 0.80769231, 0.84615385]), array([0.46153846, 1.        , 0.        ])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['8-40Hz']_ws500.pkl,0.5794871794871794,0.5518149677542964,"[0.5, 0.6282051282051282, 0.5, 0.5384615384615384, 0.6666666666666666, 0.7307692307692307, 0.5, 0.5897435897435898, 0.6410256410256411, 0.5]","[array([0.73076923, 0.46153846, 0.30769231]), array([0.46153846, 0.84615385, 0.57692308]), array([0.80769231, 0.34615385, 0.34615385]), array([0.96153846, 0.11538462, 0.53846154]), array([0.53846154, 0.65384615, 0.80769231]), array([0.76923077, 0.88461538, 0.53846154]), array([0.38461538, 0.38461538, 0.73076923]), array([0.76923077, 0.88461538, 0.11538462]), array([0.15384615, 0.80769231, 0.96153846]), array([0.5, 1. , 0. ])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['8-40Hz']_ws375.pkl,0.5785714285714286,0.5501301848225049,"[0.5595238095238095, 0.6309523809523809, 0.5, 0.5595238095238095, 0.5952380952380952, 0.6785714285714286, 0.4880952380952381, 0.6190476190476191, 0.6428571428571429, 0.5119047619047619]","[array([0.75      , 0.35714286, 0.57142857]), array([0.53571429, 0.82142857, 0.53571429]), array([0.67857143, 0.35714286, 0.46428571]), array([0.89285714, 0.17857143, 0.60714286]), array([0.25      , 0.78571429, 0.75      ]), array([0.71428571, 0.82142857, 0.5       ]), array([0.35714286, 0.35714286, 0.75      ]), array([0.82142857, 0.85714286, 0.17857143]), array([0.17857143, 0.85714286, 0.89285714]), array([0.53571429, 1.        , 0.        ])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord3_freqlimits['8-40Hz']_ws500.pkl,0.5782051282051281,0.5500635881067609,"[0.5, 0.6923076923076923, 0.5512820512820513, 0.5256410256410257, 0.5256410256410257, 0.7435897435897436, 0.5256410256410257, 0.6025641025641025, 0.6282051282051282, 0.48717948717948717]","[array([0.73076923, 0.46153846, 0.30769231]), array([0.53846154, 0.84615385, 0.69230769]), array([0.80769231, 0.34615385, 0.5       ]), array([0.88461538, 0.15384615, 0.53846154]), array([0.11538462, 0.76923077, 0.69230769]), array([0.80769231, 0.88461538, 0.53846154]), array([0.46153846, 0.38461538, 0.73076923]), array([0.80769231, 0.88461538, 0.11538462]), array([0.23076923, 0.80769231, 0.84615385]), array([0.46153846, 1.        , 0.        ])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord2_freqlimits['8-40Hz']_ws375.pkl,0.5761904761904761,0.5491640859789989,"[0.5595238095238095, 0.7142857142857143, 0.5476190476190477, 0.5476190476190477, 0.5476190476190477, 0.7023809523809523, 0.4880952380952381, 0.5714285714285714, 0.5952380952380952, 0.4880952380952381]","[array([0.71428571, 0.35714286, 0.60714286]), array([0.53571429, 0.89285714, 0.71428571]), array([0.71428571, 0.39285714, 0.53571429]), array([0.89285714, 0.17857143, 0.57142857]), array([0.17857143, 0.92857143, 0.53571429]), array([0.75      , 0.78571429, 0.57142857]), array([0.32142857, 0.35714286, 0.78571429]), array([0.67857143, 0.82142857, 0.21428571]), array([0.21428571, 0.85714286, 0.71428571]), array([0.46428571, 1.        , 0.        ])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['8-40Hz']_ws375.pkl,0.5761904761904761,0.5478041749677459,"[0.5714285714285714, 0.6309523809523809, 0.5357142857142857, 0.5595238095238095, 0.5833333333333334, 0.6904761904761905, 0.4880952380952381, 0.5833333333333334, 0.6309523809523809, 0.4880952380952381]","[array([0.82142857, 0.42857143, 0.46428571]), array([0.53571429, 0.96428571, 0.39285714]), array([0.67857143, 0.35714286, 0.57142857]), array([0.89285714, 0.21428571, 0.57142857]), array([0.21428571, 0.92857143, 0.60714286]), array([0.71428571, 0.82142857, 0.53571429]), array([0.35714286, 0.35714286, 0.75      ]), array([0.75      , 0.82142857, 0.17857143]), array([0.17857143, 0.85714286, 0.85714286]), array([0.46428571, 1.        , 0.        ])]"
crossval_data\pilots\intermediate_datafiles\preprocess\X02_wet\X02_wet_deep_or_riemann_filtord4_freqlimits['4-35Hz']_ws500.pkl,0.5756410256410256,0.558054876244131,"[0.48717948717948717, 0.6153846153846154, 0.6410256410256411, 0.5512820512820513, 0.7051282051282052, 0.7051282051282052, 0.38461538461538464, 0.5769230769230769, 0.5897435897435898, 0.5]","[array([0.61538462, 0.53846154, 0.30769231]), array([0.42307692, 0.88461538, 0.53846154]), array([0.96153846, 0.5       , 0.46153846]), array([0.88461538, 0.19230769, 0.57692308]), array([0.76923077, 0.73076923, 0.61538462]), array([0.73076923, 0.84615385, 0.53846154]), array([0.19230769, 0.38461538, 0.57692308]), array([0.76923077, 0.80769231, 0.15384615]), array([0.19230769, 0.80769231, 0.76923077]), array([0.26923077, 1.        , 0.23076923])]"
