{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.01, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 2043
acc: 0.43296985246953174, f1: 0.4337394867777378
acc: 0.47273893521488136, f1: 0.476229992922396
acc: 0.44323284156510584, f1: 0.4423456035814374
acc: 0.46183450930083386, f1: 0.45685848017894665
acc: 0.48749198203976907, f1: 0.46838876756066933
acc: 0.47017318794098784, f1: 0.4481408597160382
acc: 0.4842847979474022, f1: 0.492964627190616
acc: 0.4810776138550353, f1: 0.46440490241024157
acc: 0.4650416933932008, f1: 0.45751013584748856
acc: 0.477228992944195, f1: 0.4938890636639292
acc: 0.4804361770365619, f1: 0.4947602141795863
acc: 0.4830019243104554, f1: 0.4772029678312933
acc: 0.5054522129570237, f1: 0.4814210834739055
acc: 0.4656831302116741, f1: 0.474046083301653
acc: 0.45221295702373315, f1: 0.4408531249037869
acc: 0.4996792815907633, f1: 0.48330375301778744
acc: 0.5003207184092366, f1: 0.5083851682948051
acc: 0.4650416933932008, f1: 0.4459600782843968
acc: 0.49518922386144965, f1: 0.48682894060880705
acc: 0.5182809493264914, f1: 0.4907206978817409
acc: 0.4650416933932008, f1: 0.45418463315541935
acc: 0.5016035920461834, f1: 0.4805087160361569
acc: 0.4759461193072482, f1: 0.48199629675412636
acc: 0.4913406029506094, f1: 0.49627952669319386
acc: 0.4900577293136626, f1: 0.4673331670386044
acc: 0.4868505452212957, f1: 0.46184882218273277
acc: 0.5003207184092366, f1: 0.5071884607891161
acc: 0.5080179602309173, f1: 0.5089050110312566
acc: 0.4676074406670943, f1: 0.4430576434433314
acc: 0.5060936497754971, f1: 0.5199521592238533
