{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.001, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 1683
acc: 0.34830019243104554, f1: 0.3203298821239926
acc: 0.3880692751763951, f1: 0.397360634926744
acc: 0.44644002565747276, f1: 0.4359212543888514
acc: 0.4509300833867864, f1: 0.42396303938550695
acc: 0.4676074406670943, f1: 0.44142911230651166
acc: 0.47273893521488136, f1: 0.43638874227847874
acc: 0.47979474021808854, f1: 0.4810375093221815
acc: 0.4868505452212957, f1: 0.4696638646077577
acc: 0.4733803720333547, f1: 0.4535160559694661
acc: 0.46889031430404104, f1: 0.45479032878394465
acc: 0.4836433611289288, f1: 0.4711937915889278
acc: 0.47273893521488136, f1: 0.47711198138033567
acc: 0.482360487491982, f1: 0.49119423362237274
acc: 0.4894162924951892, f1: 0.4979596556891071
acc: 0.5112251443232841, f1: 0.49561866877122457
acc: 0.48813341885824246, f1: 0.5040892049051281
acc: 0.49518922386144965, f1: 0.47314253646951976
acc: 0.5137908915971777, f1: 0.5172913999850987
acc: 0.4996792815907633, f1: 0.48060907867415487
acc: 0.5202052597819115, f1: 0.5148088550129206
acc: 0.48877485567671586, f1: 0.4767489771255846
acc: 0.5234124438742784, f1: 0.4855252856351928
acc: 0.5279025016035921, f1: 0.5047605155834396
acc: 0.5240538806927517, f1: 0.5402702464030842
acc: 0.5381654906991661, f1: 0.524537834596737
acc: 0.49775497113534317, f1: 0.4907204719884975
acc: 0.5458627325208467, f1: 0.5172101519170047
acc: 0.517639512508018, f1: 0.49362574133218456
acc: 0.5407312379730597, f1: 0.5523547107812489
acc: 0.5452212957023733, f1: 0.5591796793585853
