{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.01, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 50, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 1903
acc: 0.3470173187940988, f1: 0.2551040146185339
acc: 0.46119307248236047, f1: 0.44733598903370797
acc: 0.5131494547787043, f1: 0.5103039916210083
acc: 0.5195638229634381, f1: 0.5397118584638029
acc: 0.5073765234124439, f1: 0.47564324641830386
acc: 0.536241180243746, f1: 0.5453176191943372
acc: 0.5067350865939705, f1: 0.49095663523715816
acc: 0.5246953175112251, f1: 0.503389749737208
acc: 0.5323925593329057, f1: 0.5555766306408486
acc: 0.5323925593329057, f1: 0.5437124548727141
acc: 0.5304682488774856, f1: 0.5122279866605676
acc: 0.5182809493264914, f1: 0.5347226868806586
acc: 0.49454778704297625, f1: 0.4729568135003327
acc: 0.5150737652341244, f1: 0.47742486394196376
acc: 0.5137908915971777, f1: 0.48169392922491105
acc: 0.5112251443232841, f1: 0.514388767264915
acc: 0.5073765234124439, f1: 0.49343108567347194
acc: 0.5022450288646568, f1: 0.5033798443763676
acc: 0.5067350865939705, f1: 0.4719054807212614
acc: 0.4971135343168698, f1: 0.49633061218977165
acc: 0.49518922386144965, f1: 0.47133977721223586
acc: 0.4836433611289288, f1: 0.4599991729166812
acc: 0.5221295702373316, f1: 0.5214971523865221
acc: 0.4990378447722899, f1: 0.5079370032531685
acc: 0.4990378447722899, f1: 0.5073339786839676
acc: 0.5060936497754971, f1: 0.5055786204440467
acc: 0.504169339320077, f1: 0.49404835261937835
acc: 0.48492623476587554, f1: 0.46643545314628093
acc: 0.5080179602309173, f1: 0.4981421962190859
acc: 0.49518922386144965, f1: 0.46201110715864685
