{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 20, 'learning_rate': 0.01, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 5683
acc: 0.3624118024374599, f1: 0.2976187728150519
acc: 0.3822963438101347, f1: 0.36835307836887615
acc: 0.5035279025016036, f1: 0.4925506039960297
acc: 0.5093008338678641, f1: 0.5094779822302914
acc: 0.5054522129570237, f1: 0.5136961687658798
acc: 0.49583066067992304, f1: 0.48754938455152663
acc: 0.5157152020525978, f1: 0.49438371208148374
acc: 0.50096215522771, f1: 0.4661516626637502
acc: 0.5240538806927517, f1: 0.4961103887524097
acc: 0.5471456061577935, f1: 0.5311999670522326
acc: 0.5432969852469531, f1: 0.5108188721620287
acc: 0.49518922386144965, f1: 0.48053150502651887
acc: 0.536241180243746, f1: 0.5595059245611379
acc: 0.5349583066067992, f1: 0.5180107593407253
acc: 0.5625400898011546, f1: 0.5792022986156821
acc: 0.536241180243746, f1: 0.5279195478355954
acc: 0.5272610647851187, f1: 0.5257352885479871
acc: 0.5131494547787043, f1: 0.5234233304775838
acc: 0.5234124438742784, f1: 0.5025823419735683
acc: 0.490699166132136, f1: 0.48523875401782296
acc: 0.5003207184092366, f1: 0.48890282294766646
acc: 0.5067350865939705, f1: 0.45699566185849577
acc: 0.5221295702373316, f1: 0.5162530003086055
acc: 0.5285439384220654, f1: 0.48758073622215964
acc: 0.5028864656831302, f1: 0.4812355784295312
acc: 0.4868505452212957, f1: 0.48589785773056754
acc: 0.5157152020525978, f1: 0.49995469394390185
acc: 0.5298268120590122, f1: 0.5188556428168771
acc: 0.4996792815907633, f1: 0.4994543658275331
acc: 0.5073765234124439, f1: 0.5189750961766937
