{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 20, 'learning_rate': 0.001, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 4963
acc: 0.3688261706221937, f1: 0.29475596629633605
acc: 0.4220654265554843, f1: 0.4088442981957804
acc: 0.4509300833867864, f1: 0.4301637659152851
acc: 0.4676074406670943, f1: 0.4654133142803901
acc: 0.4708146247594612, f1: 0.4755078090303114
acc: 0.4894162924951892, f1: 0.48416609902906244
acc: 0.4842847979474022, f1: 0.48312658148605486
acc: 0.5099422706863374, f1: 0.5052185260919079
acc: 0.5169980756895446, f1: 0.5080068252298391
acc: 0.5048107761385503, f1: 0.5026347954588682
acc: 0.5137908915971777, f1: 0.5129179357277126
acc: 0.5195638229634381, f1: 0.5088674121426225
acc: 0.5368826170622194, f1: 0.5558192460730779
acc: 0.5375240538806928, f1: 0.5623149666086579
acc: 0.514432328415651, f1: 0.5143157449529303
acc: 0.5343168697883258, f1: 0.5370482072112139
acc: 0.5317511225144324, f1: 0.5288785033805583
acc: 0.5542014111610006, f1: 0.5547756349603711
acc: 0.5574085952533675, f1: 0.5698133140940114
acc: 0.563181526619628, f1: 0.5632299461336656
acc: 0.5663887107119948, f1: 0.5726383596392906
acc: 0.5676715843489416, f1: 0.5607517832827872
acc: 0.5407312379730597, f1: 0.5312819721990667
acc: 0.5740859525336754, f1: 0.5777645340420402
acc: 0.5676715843489416, f1: 0.5672402188226511
acc: 0.5574085952533675, f1: 0.5857412918325184
acc: 0.549711353431687, f1: 0.5397710807640361
acc: 0.5471456061577935, f1: 0.5292514987319666
acc: 0.5753688261706222, f1: 0.5895571880496032
acc: 0.5535599743425272, f1: 0.5278461361485982
