{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.01, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 1683
acc: 0.431686978832585, f1: 0.38293847731033887
acc: 0.5208466966003849, f1: 0.5215736906114505
acc: 0.48620910840282233, f1: 0.4760828812254735
acc: 0.49454778704297625, f1: 0.47061179349094745
acc: 0.4605516356638871, f1: 0.46687804952316986
acc: 0.4656831302116741, f1: 0.45776951560782836
acc: 0.48813341885824246, f1: 0.4856226112738709
acc: 0.47017318794098784, f1: 0.45877359916009
acc: 0.5022450288646568, f1: 0.5100339194178708
acc: 0.5060936497754971, f1: 0.5351631853806162
acc: 0.50096215522771, f1: 0.4946411022985496
acc: 0.504169339320077, f1: 0.4751080426439982
acc: 0.4804361770365619, f1: 0.45821775944091575
acc: 0.49518922386144965, f1: 0.4999338552477855
acc: 0.5099422706863374, f1: 0.49267728432102353
acc: 0.5067350865939705, f1: 0.4990384160599981
acc: 0.5054522129570237, f1: 0.49679263287859626
acc: 0.4919820397690827, f1: 0.4619292228525918
acc: 0.4939063502245029, f1: 0.495837952262511
acc: 0.5157152020525978, f1: 0.5392413595254056
acc: 0.5112251443232841, f1: 0.5206107415813968
acc: 0.5137908915971777, f1: 0.5380953234888081
acc: 0.5157152020525978, f1: 0.5079951436545171
acc: 0.5330339961513791, f1: 0.5497471550617201
acc: 0.5022450288646568, f1: 0.5203147764848879
acc: 0.5323925593329057, f1: 0.5179543946294084
acc: 0.5221295702373316, f1: 0.5294343438306854
acc: 0.5157152020525978, f1: 0.5136630642887191
acc: 0.5240538806927517, f1: 0.5089573433145262
acc: 0.5240538806927517, f1: 0.507761945129721
