{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 20, 'learning_rate': 0.001, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 5683
acc: 0.39320076972418216, f1: 0.39893300398356474
acc: 0.41821680564464403, f1: 0.40322519366450765
acc: 0.4842847979474022, f1: 0.4778049306845219
acc: 0.5086593970493907, f1: 0.5107825463877368
acc: 0.5112251443232841, f1: 0.4919174652062842
acc: 0.514432328415651, f1: 0.5078148867045112
acc: 0.5150737652341244, f1: 0.5120776469919225
acc: 0.5259781911481719, f1: 0.5223152952770789
acc: 0.5035279025016036, f1: 0.486860033220522
acc: 0.5208466966003849, f1: 0.5130209456393383
acc: 0.5118665811417575, f1: 0.5238032667216396
acc: 0.5336754329698524, f1: 0.5181302442212097
acc: 0.504169339320077, f1: 0.4842230012190187
acc: 0.5298268120590122, f1: 0.5201109133512112
acc: 0.5330339961513791, f1: 0.5120252630557698
acc: 0.5522771007055804, f1: 0.5565190627914901
acc: 0.5355997434252726, f1: 0.5247863305081315
acc: 0.5439384220654265, f1: 0.5256184072145359
acc: 0.531109685695959, f1: 0.5205940519073792
acc: 0.5375240538806928, f1: 0.5229740298764923
acc: 0.5574085952533675, f1: 0.5533520845958765
acc: 0.5432969852469531, f1: 0.5496599686892393
acc: 0.5574085952533675, f1: 0.5406609586348666
acc: 0.536241180243746, f1: 0.5385679951378478
acc: 0.5465041693393201, f1: 0.5750953872366085
acc: 0.5426555484284797, f1: 0.5237083675268884
acc: 0.5567671584348942, f1: 0.5479973986379484
acc: 0.5298268120590122, f1: 0.5154505065435087
acc: 0.5529185375240538, f1: 0.5505780217089628
acc: 0.5426555484284797, f1: 0.5342211731367542
