{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.01, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 50, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 2263
acc: 0.37395766516998075, f1: 0.36008452571044686
acc: 0.4387427838357922, f1: 0.4622460698022887
acc: 0.4804361770365619, f1: 0.4844109674920895
acc: 0.5048107761385503, f1: 0.517119554400178
acc: 0.5099422706863374, f1: 0.5220377785953396
acc: 0.4894162924951892, f1: 0.4668390971509262
acc: 0.5118665811417575, f1: 0.49932955385474204
acc: 0.5189223861449648, f1: 0.5284446521515079
acc: 0.5202052597819115, f1: 0.5319170358513842
acc: 0.5368826170622194, f1: 0.5378731659821787
acc: 0.5394483643361129, f1: 0.528059483239453
acc: 0.5202052597819115, f1: 0.5251390237269848
acc: 0.5355997434252726, f1: 0.5540640760430385
acc: 0.5529185375240538, f1: 0.528051881920698
acc: 0.5073765234124439, f1: 0.5152542938832266
acc: 0.5336754329698524, f1: 0.5362811361716174
acc: 0.5234124438742784, f1: 0.49765612279384425
acc: 0.5240538806927517, f1: 0.5085500938693266
acc: 0.5131494547787043, f1: 0.5410962050668129
acc: 0.504169339320077, f1: 0.5024380287128345
acc: 0.5080179602309173, f1: 0.5169672642279666
acc: 0.4971135343168698, f1: 0.4836032893171806
acc: 0.5169980756895446, f1: 0.48150079302218235
acc: 0.4900577293136626, f1: 0.48475850648473856
acc: 0.49518922386144965, f1: 0.5166654553672579
acc: 0.47979474021808854, f1: 0.4491426607269369
acc: 0.4926234765875561, f1: 0.49236860329671417
acc: 0.4868505452212957, f1: 0.4974532828969254
acc: 0.4669660038486209, f1: 0.4734519242082217
acc: 0.47787042976266836, f1: 0.4722165205357502
