{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.005, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 2043
acc: 0.39255933290570877, f1: 0.3859817965836966
acc: 0.4746632456703015, f1: 0.4585282157120338
acc: 0.4740218088518281, f1: 0.4826296920222154
acc: 0.4810776138550353, f1: 0.4971887987271083
acc: 0.46953175112251444, f1: 0.4906081159116463
acc: 0.5048107761385503, f1: 0.517883574156573
acc: 0.5157152020525978, f1: 0.5056884347911101
acc: 0.50096215522771, f1: 0.4901952473253654
acc: 0.5253367543296985, f1: 0.5447559460610035
acc: 0.5259781911481719, f1: 0.5200327787785631
acc: 0.5169980756895446, f1: 0.513373498085108
acc: 0.5272610647851187, f1: 0.518846027724561
acc: 0.5169980756895446, f1: 0.5082394709263071
acc: 0.5099422706863374, f1: 0.5189162034438282
acc: 0.5073765234124439, f1: 0.5225377985408327
acc: 0.5125080179602309, f1: 0.5039098786849657
acc: 0.5131494547787043, f1: 0.5056490480563589
acc: 0.5336754329698524, f1: 0.5311079058301034
acc: 0.517639512508018, f1: 0.5082812230879272
acc: 0.517639512508018, f1: 0.5231474475200247
acc: 0.5272610647851187, f1: 0.507123246005067
acc: 0.5253367543296985, f1: 0.5155461187688517
acc: 0.5272610647851187, f1: 0.524986437559433
acc: 0.5266196279666453, f1: 0.5270688827119123
acc: 0.5137908915971777, f1: 0.49610125609768524
acc: 0.5381654906991661, f1: 0.5519106234450669
acc: 0.5234124438742784, f1: 0.5237635811324746
acc: 0.5195638229634381, f1: 0.5237544051471067
acc: 0.522771007055805, f1: 0.5316512003228534
acc: 0.5189223861449648, f1: 0.5196553698812488
