{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 20, 'learning_rate': 0.001, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 50, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 5403
acc: 0.36561898652982683, f1: 0.31079009055367807
acc: 0.4156510583707505, f1: 0.3892352896302777
acc: 0.4470814624759461, f1: 0.4334339669995339
acc: 0.4740218088518281, f1: 0.4645469608561183
acc: 0.4926234765875561, f1: 0.4904471577119348
acc: 0.48556767158434894, f1: 0.46979923577143357
acc: 0.48556767158434894, f1: 0.47318337324522813
acc: 0.5093008338678641, f1: 0.5091018376846478
acc: 0.5214881334188582, f1: 0.4802788571313947
acc: 0.5240538806927517, f1: 0.5365622538476732
acc: 0.5388069275176395, f1: 0.5272578448238388
acc: 0.5195638229634381, f1: 0.4817550716487475
acc: 0.5458627325208467, f1: 0.5492227740116256
acc: 0.5638229634381013, f1: 0.5594179125742914
acc: 0.5452212957023733, f1: 0.5154160750704918
acc: 0.5291853752405388, f1: 0.5309694003874048
acc: 0.5407312379730597, f1: 0.5377332917378224
acc: 0.5490699166132136, f1: 0.5497583636487858
acc: 0.5420141116100065, f1: 0.5423500213893588
acc: 0.5561257216164208, f1: 0.5451301557902015
acc: 0.5323925593329057, f1: 0.5287270090385386
acc: 0.5522771007055804, f1: 0.5626744986295454
acc: 0.5580500320718409, f1: 0.5689683617395871
acc: 0.5561257216164208, f1: 0.5427856467742818
acc: 0.5400898011545863, f1: 0.5311390102405099
acc: 0.5644644002565747, f1: 0.5628645602097573
acc: 0.5458627325208467, f1: 0.5211880122814699
acc: 0.5535599743425272, f1: 0.5391249999810155
acc: 0.5509942270686338, f1: 0.5445348981760166
acc: 0.5426555484284797, f1: 0.5222000908568627
