{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 20, 'learning_rate': 0.01, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 5683
acc: 0.45926876202694034, f1: 0.44611397473578
acc: 0.47851186658114175, f1: 0.4815233232273514
acc: 0.4804361770365619, f1: 0.48577036357637055
acc: 0.48813341885824246, f1: 0.49262164522731794
acc: 0.48877485567671586, f1: 0.488620945973625
acc: 0.4868505452212957, f1: 0.49937732768807636
acc: 0.48749198203976907, f1: 0.492140600419082
acc: 0.4919820397690827, f1: 0.5109337540384188
acc: 0.50096215522771, f1: 0.4958805529738576
acc: 0.4817190506735087, f1: 0.4788817856734734
acc: 0.5073765234124439, f1: 0.5195875068172928
acc: 0.47915330339961515, f1: 0.4760482142300008
acc: 0.48749198203976907, f1: 0.4915678346744758
acc: 0.5035279025016036, f1: 0.5152657056832248
acc: 0.47979474021808854, f1: 0.48287406787681386
acc: 0.5086593970493907, f1: 0.5039629703495138
acc: 0.5022450288646568, f1: 0.5085596734145031
acc: 0.50096215522771, f1: 0.4951367379305726
acc: 0.517639512508018, f1: 0.5011844608988444
acc: 0.4836433611289288, f1: 0.4947179548797735
acc: 0.5028864656831302, f1: 0.4954157074171122
acc: 0.50096215522771, f1: 0.5199834810531644
acc: 0.4926234765875561, f1: 0.48672643669610577
acc: 0.5105837075048107, f1: 0.4921162230636708
acc: 0.5080179602309173, f1: 0.513502209685643
acc: 0.5099422706863374, f1: 0.5363749214910228
acc: 0.5202052597819115, f1: 0.5282156225921348
acc: 0.4894162924951892, f1: 0.4915270653154006
acc: 0.5086593970493907, f1: 0.51727624087858
acc: 0.47979474021808854, f1: 0.49664106280911996
