{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.001, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 2043
acc: 0.32841565105837073, f1: 0.338152914140962
acc: 0.34765875561257215, f1: 0.3218383340099105
acc: 0.38357921744708146, f1: 0.3529200003347116
acc: 0.38486209108402825, f1: 0.38270216711641186
acc: 0.44194996792815905, f1: 0.4388290580820473
acc: 0.44579858883899937, f1: 0.4613511277887649
acc: 0.46183450930083386, f1: 0.4628700215206761
acc: 0.4804361770365619, f1: 0.475787278505459
acc: 0.4894162924951892, f1: 0.4671657789558248
acc: 0.4996792815907633, f1: 0.5112365999570508
acc: 0.5080179602309173, f1: 0.49621478057357477
acc: 0.5022450288646568, f1: 0.5168052111385849
acc: 0.50096215522771, f1: 0.49245265736663046
acc: 0.5125080179602309, f1: 0.49689733222314963
acc: 0.5105837075048107, f1: 0.5217055890547979
acc: 0.5112251443232841, f1: 0.4964917729750168
acc: 0.5131494547787043, f1: 0.5088517824049313
acc: 0.5048107761385503, f1: 0.48101924120710826
acc: 0.5163566388710712, f1: 0.516317552367761
acc: 0.5150737652341244, f1: 0.5177498154007185
acc: 0.5349583066067992, f1: 0.5379541550785492
acc: 0.5375240538806928, f1: 0.5571167738466977
acc: 0.5285439384220654, f1: 0.5251320795688422
acc: 0.5330339961513791, f1: 0.5241828808677086
acc: 0.5593329057087877, f1: 0.5787643225533887
acc: 0.5259781911481719, f1: 0.51497030800575
acc: 0.554842847979474, f1: 0.5370542189380715
acc: 0.5452212957023733, f1: 0.5286347290513205
acc: 0.5458627325208467, f1: 0.5517557284362281
acc: 0.5484284797947402, f1: 0.5121407089933172
