{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.001, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 1683
acc: 0.3534316869788326, f1: 0.34843482823439825
acc: 0.3624118024374599, f1: 0.34802336898314984
acc: 0.3970493906350224, f1: 0.38583066430764923
acc: 0.42976266837716487, f1: 0.41583584995264955
acc: 0.44323284156510584, f1: 0.446839978859847
acc: 0.4650416933932008, f1: 0.46174000646149604
acc: 0.47787042976266836, f1: 0.46690699320297513
acc: 0.47915330339961515, f1: 0.5056382449786403
acc: 0.4894162924951892, f1: 0.4879371368652486
acc: 0.5016035920461834, f1: 0.4907110054106532
acc: 0.4996792815907633, f1: 0.5196457086036383
acc: 0.4932649134060295, f1: 0.49125965238170854
acc: 0.5028864656831302, f1: 0.5152492606058351
acc: 0.5163566388710712, f1: 0.5191111422083186
acc: 0.48620910840282233, f1: 0.4697599841268813
acc: 0.5086593970493907, f1: 0.49272942896650435
acc: 0.5028864656831302, f1: 0.5143411875305256
acc: 0.5131494547787043, f1: 0.5125386518881933
acc: 0.5214881334188582, f1: 0.529653311001028
acc: 0.5028864656831302, f1: 0.504669548807014
acc: 0.5073765234124439, f1: 0.5031641189474471
acc: 0.5118665811417575, f1: 0.5234865286962117
acc: 0.5086593970493907, f1: 0.5114268721159199
acc: 0.5169980756895446, f1: 0.48789679988527573
acc: 0.5093008338678641, f1: 0.5149480747282115
acc: 0.5221295702373316, f1: 0.4951325804029841
acc: 0.5266196279666453, f1: 0.5420995667139757
acc: 0.514432328415651, f1: 0.5048649129223959
acc: 0.5208466966003849, f1: 0.523401369818352
acc: 0.5407312379730597, f1: 0.5265346399036185
