{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 20, 'learning_rate': 0.001, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 50, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 5403
acc: 0.39448364336112896, f1: 0.4047849969656783
acc: 0.4291212315586915, f1: 0.4352376119152264
acc: 0.5035279025016036, f1: 0.5020371554930565
acc: 0.5105837075048107, f1: 0.5050421248129299
acc: 0.5003207184092366, f1: 0.48508792701366976
acc: 0.4996792815907633, f1: 0.47929266144101196
acc: 0.5118665811417575, f1: 0.4895967193225033
acc: 0.5112251443232841, f1: 0.5009895926464375
acc: 0.5259781911481719, f1: 0.5315848959689813
acc: 0.5150737652341244, f1: 0.5063842818944716
acc: 0.5323925593329057, f1: 0.5333924009102744
acc: 0.5208466966003849, f1: 0.5239371690876589
acc: 0.5112251443232841, f1: 0.5065341910123672
acc: 0.5259781911481719, f1: 0.5231851787354747
acc: 0.5169980756895446, f1: 0.5423894748679862
acc: 0.5131494547787043, f1: 0.4911904816852656
acc: 0.5182809493264914, f1: 0.508542993940395
acc: 0.5253367543296985, f1: 0.5199525279606241
acc: 0.5375240538806928, f1: 0.5194158768112044
acc: 0.5317511225144324, f1: 0.5508811394936454
acc: 0.536241180243746, f1: 0.529121012003417
acc: 0.5279025016035921, f1: 0.5105860369699433
acc: 0.5202052597819115, f1: 0.5428429533383149
acc: 0.5189223861449648, f1: 0.5315577836508815
acc: 0.5317511225144324, f1: 0.5130392333164574
acc: 0.5246953175112251, f1: 0.5296198571225011
acc: 0.5266196279666453, f1: 0.498472738917672
acc: 0.5195638229634381, f1: 0.5395912462187851
acc: 0.5266196279666453, f1: 0.5276647047602547
acc: 0.5413726747915331, f1: 0.5224104703513691
