{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.001, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 50, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 1903
acc: 0.3553559974342527, f1: 0.3192561451574821
acc: 0.36754329698524696, f1: 0.3327105856597325
acc: 0.3951250801796023, f1: 0.39629051107331514
acc: 0.4547787042976267, f1: 0.4202858707411129
acc: 0.47979474021808854, f1: 0.45988104490246473
acc: 0.477228992944195, f1: 0.44923036846107
acc: 0.5086593970493907, f1: 0.5058956686317955
acc: 0.5202052597819115, f1: 0.5064759626517955
acc: 0.4964720974983964, f1: 0.5110947902436932
acc: 0.5016035920461834, f1: 0.4777724748503616
acc: 0.50096215522771, f1: 0.5335715024393641
acc: 0.5073765234124439, f1: 0.5000959210612026
acc: 0.5208466966003849, f1: 0.5119863488243007
acc: 0.5432969852469531, f1: 0.5588131587533526
acc: 0.5471456061577935, f1: 0.5563763442819785
acc: 0.5157152020525978, f1: 0.5001236966214984
acc: 0.5381654906991661, f1: 0.5420730197112092
acc: 0.5285439384220654, f1: 0.5064333456716011
acc: 0.5240538806927517, f1: 0.49498414093011256
acc: 0.5343168697883258, f1: 0.48929520571189844
acc: 0.5150737652341244, f1: 0.5267112260644744
acc: 0.5285439384220654, f1: 0.5086042882687101
acc: 0.5343168697883258, f1: 0.5098948626355763
acc: 0.5381654906991661, f1: 0.5041732146022517
acc: 0.5490699166132136, f1: 0.5392933539067539
acc: 0.5522771007055804, f1: 0.5625110382693492
acc: 0.5567671584348942, f1: 0.5774748250248292
acc: 0.5413726747915331, f1: 0.517585339538709
acc: 0.5349583066067992, f1: 0.5239129755225445
acc: 0.5375240538806928, f1: 0.5458877249459043
