{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.005, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 2043
acc: 0.4041051956382296, f1: 0.35400899333772556
acc: 0.4656831302116741, f1: 0.4846719167675846
acc: 0.45862732520846694, f1: 0.4382389481955981
acc: 0.47209749839640797, f1: 0.46882365549371763
acc: 0.4919820397690827, f1: 0.49404017673426415
acc: 0.48749198203976907, f1: 0.48309773770484493
acc: 0.4894162924951892, f1: 0.48147017091159217
acc: 0.50096215522771, f1: 0.48249864283613736
acc: 0.450288646568313, f1: 0.43161487077699207
acc: 0.5035279025016036, f1: 0.49122851396096273
acc: 0.5035279025016036, f1: 0.5119142992265998
acc: 0.5112251443232841, f1: 0.5319178426646554
acc: 0.4971135343168698, f1: 0.48353845845577254
acc: 0.482360487491982, f1: 0.47663851280077957
acc: 0.47787042976266836, f1: 0.4856325629440536
acc: 0.4932649134060295, f1: 0.48614523928834613
acc: 0.4939063502245029, f1: 0.4783411514998229
acc: 0.5163566388710712, f1: 0.5323022850327324
acc: 0.4990378447722899, f1: 0.4911220889256226
acc: 0.5035279025016036, f1: 0.5002209596707616
acc: 0.522771007055805, f1: 0.5142525246151409
acc: 0.4932649134060295, f1: 0.471919592293855
acc: 0.4926234765875561, f1: 0.45758366376899684
acc: 0.5086593970493907, f1: 0.5026552608581021
acc: 0.4996792815907633, f1: 0.5057870834444494
acc: 0.5131494547787043, f1: 0.5078198802990348
acc: 0.536241180243746, f1: 0.5328184784702833
acc: 0.5073765234124439, f1: 0.49894105464166355
acc: 0.5112251443232841, f1: 0.501580715725158
acc: 0.5099422706863374, f1: 0.48371679152704633
