{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.01, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 50, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 2263
acc: 0.38037203335471453, f1: 0.3459437416286976
acc: 0.45349583066067994, f1: 0.4544482807647965
acc: 0.47145606157793457, f1: 0.45458882501145575
acc: 0.5157152020525978, f1: 0.4933518527883804
acc: 0.4932649134060295, f1: 0.4788377212555934
acc: 0.5189223861449648, f1: 0.5079957511220597
acc: 0.4842847979474022, f1: 0.49265169809055376
acc: 0.48749198203976907, f1: 0.45803809471716184
acc: 0.4759461193072482, f1: 0.4772049555670447
acc: 0.5221295702373316, f1: 0.5077188973707782
acc: 0.5054522129570237, f1: 0.510531084696299
acc: 0.5163566388710712, f1: 0.4997755978751491
acc: 0.5195638229634381, f1: 0.5115567340594106
acc: 0.5073765234124439, f1: 0.48275096838573933
acc: 0.5099422706863374, f1: 0.5263481648026628
acc: 0.4894162924951892, f1: 0.46914560672856914
acc: 0.4971135343168698, f1: 0.5070586097279951
acc: 0.5105837075048107, f1: 0.506827912773847
acc: 0.4868505452212957, f1: 0.484675134706875
acc: 0.490699166132136, f1: 0.5000173518950755
acc: 0.5118665811417575, f1: 0.518960999854545
acc: 0.5003207184092366, f1: 0.5037050177885886
acc: 0.4939063502245029, f1: 0.48191916367112914
acc: 0.47979474021808854, f1: 0.4783587876870425
acc: 0.4971135343168698, f1: 0.504773777156307
acc: 0.4759461193072482, f1: 0.45426650905079485
acc: 0.4919820397690827, f1: 0.507586471740938
acc: 0.4971135343168698, f1: 0.5442774777864472
acc: 0.4765875561257216, f1: 0.46392520494331985
acc: 0.47915330339961515, f1: 0.46298136729668604
