{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.01, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 50, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 2263
acc: 0.3867864015394484, f1: 0.37110445658594354
acc: 0.4579858883899936, f1: 0.46063630394187344
acc: 0.5054522129570237, f1: 0.5050332397125875
acc: 0.4579858883899936, f1: 0.4480584247233511
acc: 0.5080179602309173, f1: 0.5211269222472698
acc: 0.4817190506735087, f1: 0.46971343264563675
acc: 0.49518922386144965, f1: 0.49942790009101745
acc: 0.5150737652341244, f1: 0.5064774215706845
acc: 0.5105837075048107, f1: 0.5075217115553238
acc: 0.4932649134060295, f1: 0.4539757065241843
acc: 0.5003207184092366, f1: 0.49620058287701374
acc: 0.49583066067992304, f1: 0.5168443560588953
acc: 0.4842847979474022, f1: 0.45450191636222054
acc: 0.43489416292495187, f1: 0.41850738026396234
acc: 0.4810776138550353, f1: 0.49483482966757725
acc: 0.4996792815907633, f1: 0.4902176719515066
acc: 0.490699166132136, f1: 0.5164367767957675
acc: 0.48813341885824246, f1: 0.483646010689379
acc: 0.4669660038486209, f1: 0.4577544332974913
acc: 0.5028864656831302, f1: 0.4724006476606825
acc: 0.4676074406670943, f1: 0.41980570422746427
acc: 0.5035279025016036, f1: 0.5066023378251265
acc: 0.4913406029506094, f1: 0.4910153405048549
acc: 0.490699166132136, f1: 0.47744877272484004
acc: 0.4913406029506094, f1: 0.4973429977504692
acc: 0.47145606157793457, f1: 0.45089270425353295
acc: 0.5093008338678641, f1: 0.5112439336092991
acc: 0.490699166132136, f1: 0.4860602696945225
acc: 0.4939063502245029, f1: 0.48067331179633704
acc: 0.4817190506735087, f1: 0.4978266899230071
