{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 20, 'learning_rate': 0.005, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 5683
acc: 0.3964079538165491, f1: 0.2821401147800514
acc: 0.47915330339961515, f1: 0.5034331319450345
acc: 0.482360487491982, f1: 0.4857012894589473
acc: 0.514432328415651, f1: 0.508084039202814
acc: 0.4913406029506094, f1: 0.49307511812614463
acc: 0.5221295702373316, f1: 0.5036500989760981
acc: 0.5279025016035921, f1: 0.5025600435286872
acc: 0.5323925593329057, f1: 0.5266541833249071
acc: 0.5253367543296985, f1: 0.5165856354310375
acc: 0.5285439384220654, f1: 0.5095602046168105
acc: 0.5471456061577935, f1: 0.5372781664943848
acc: 0.5099422706863374, f1: 0.48701868255635766
acc: 0.5279025016035921, f1: 0.507068267229897
acc: 0.5073765234124439, f1: 0.5073383792579826
acc: 0.47851186658114175, f1: 0.42439026848257605
acc: 0.536241180243746, f1: 0.5044061667912239
acc: 0.5304682488774856, f1: 0.5222482187962352
acc: 0.5747273893521488, f1: 0.5776080829174025
acc: 0.5253367543296985, f1: 0.506463991688186
acc: 0.5253367543296985, f1: 0.5428582858291114
acc: 0.4990378447722899, f1: 0.4554535957284958
acc: 0.5253367543296985, f1: 0.5172374634423936
acc: 0.5420141116100065, f1: 0.5270847424683838
acc: 0.5542014111610006, f1: 0.5689419951092166
acc: 0.5445798588838999, f1: 0.5178527769215477
acc: 0.5336754329698524, f1: 0.5495669360312622
acc: 0.5298268120590122, f1: 0.5097475360949799
acc: 0.5420141116100065, f1: 0.5144760980988369
acc: 0.5465041693393201, f1: 0.5247680898884488
acc: 0.5291853752405388, f1: 0.5304788593244841
