{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.01, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 1683
acc: 0.4669660038486209, f1: 0.44410383723818114
acc: 0.5343168697883258, f1: 0.533342876738386
acc: 0.5240538806927517, f1: 0.5110220952957442
acc: 0.5163566388710712, f1: 0.5117667293257298
acc: 0.4964720974983964, f1: 0.4920460937101016
acc: 0.5131494547787043, f1: 0.46893229558094385
acc: 0.5150737652341244, f1: 0.5176726888240046
acc: 0.522771007055805, f1: 0.5198433911061805
acc: 0.5394483643361129, f1: 0.5582198856614611
acc: 0.49839640795381657, f1: 0.46449344166729284
acc: 0.5317511225144324, f1: 0.541503362744517
acc: 0.4605516356638871, f1: 0.45059923719853495
acc: 0.5067350865939705, f1: 0.4799112268470352
acc: 0.5323925593329057, f1: 0.5323953213232777
acc: 0.5298268120590122, f1: 0.5282273132366144
acc: 0.5330339961513791, f1: 0.528494597660908
acc: 0.5099422706863374, f1: 0.5131721411047117
acc: 0.517639512508018, f1: 0.5101266459176171
acc: 0.5253367543296985, f1: 0.5137373488055877
acc: 0.517639512508018, f1: 0.4759874178569251
acc: 0.5016035920461834, f1: 0.4859610334029768
acc: 0.5330339961513791, f1: 0.5195234111241958
acc: 0.5048107761385503, f1: 0.4935391373383207
acc: 0.5381654906991661, f1: 0.5045571759118876
acc: 0.50096215522771, f1: 0.4940735159495043
acc: 0.5003207184092366, f1: 0.49504904057687604
acc: 0.5279025016035921, f1: 0.5047453718918613
acc: 0.5028864656831302, f1: 0.5286371778939223
acc: 0.5073765234124439, f1: 0.5201597635170712
acc: 0.5067350865939705, f1: 0.5021688147334135
