{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 20, 'learning_rate': 0.001, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 50, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 6123
acc: 0.35663887107119946, f1: 0.3328566932979687
acc: 0.40731237973059653, f1: 0.37858036790189126
acc: 0.4644002565747274, f1: 0.4523926048174363
acc: 0.4836433611289288, f1: 0.4545633501607137
acc: 0.4817190506735087, f1: 0.49267259471055125
acc: 0.5028864656831302, f1: 0.5123298762961624
acc: 0.5105837075048107, f1: 0.4964431301058903
acc: 0.514432328415651, f1: 0.489879039534348
acc: 0.5400898011545863, f1: 0.5335216171230452
acc: 0.5368826170622194, f1: 0.5631283847248396
acc: 0.5259781911481719, f1: 0.544486891968407
acc: 0.5221295702373316, f1: 0.5380119912758892
acc: 0.5182809493264914, f1: 0.5192496650615809
acc: 0.5208466966003849, f1: 0.5142605174415426
acc: 0.5336754329698524, f1: 0.5155764188484301
acc: 0.5388069275176395, f1: 0.5426722679127866
acc: 0.522771007055805, f1: 0.5112845079033089
acc: 0.5150737652341244, f1: 0.5172983201144039
acc: 0.5073765234124439, f1: 0.4852417017228103
acc: 0.5202052597819115, f1: 0.5212945693988126
acc: 0.5195638229634381, f1: 0.5236761518790239
acc: 0.5093008338678641, f1: 0.5073744286722186
acc: 0.5003207184092366, f1: 0.48427495972408213
acc: 0.4996792815907633, f1: 0.47044913104042196
acc: 0.5182809493264914, f1: 0.542016985080139
acc: 0.5131494547787043, f1: 0.5079040009846791
acc: 0.5022450288646568, f1: 0.49814127503670974
acc: 0.5022450288646568, f1: 0.49679597493893185
acc: 0.5137908915971777, f1: 0.5219199998440887
acc: 0.4913406029506094, f1: 0.49077122276689356
