{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.001, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 50, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 2263
acc: 0.35856318152661965, f1: 0.34686052426508507
acc: 0.37459910198845414, f1: 0.3762864728345989
acc: 0.38742783835792177, f1: 0.396722856956685
acc: 0.42719692110327134, f1: 0.42774726441274985
acc: 0.4406670942912123, f1: 0.44425558921295233
acc: 0.47209749839640797, f1: 0.4532618368358746
acc: 0.4971135343168698, f1: 0.48018702820526155
acc: 0.4894162924951892, f1: 0.4883345654154906
acc: 0.49583066067992304, f1: 0.4858913988810428
acc: 0.5048107761385503, f1: 0.49018440572193583
acc: 0.4990378447722899, f1: 0.4797182409411157
acc: 0.49583066067992304, f1: 0.49408614295334224
acc: 0.4932649134060295, f1: 0.4757407013086535
acc: 0.5048107761385503, f1: 0.49443489050092876
acc: 0.5003207184092366, f1: 0.4961323149753228
acc: 0.5035279025016036, f1: 0.4920779255204497
acc: 0.4996792815907633, f1: 0.5043550873570284
acc: 0.5080179602309173, f1: 0.5168092915342628
acc: 0.5080179602309173, f1: 0.47891148241137377
acc: 0.5157152020525978, f1: 0.5113812560684923
acc: 0.5221295702373316, f1: 0.5093406703390216
acc: 0.5086593970493907, f1: 0.498123446284418
acc: 0.5054522129570237, f1: 0.5225894829242527
acc: 0.5202052597819115, f1: 0.541149308369795
acc: 0.5105837075048107, f1: 0.5244458853570244
acc: 0.5105837075048107, f1: 0.5180383726652191
acc: 0.5150737652341244, f1: 0.5150303263361156
acc: 0.5208466966003849, f1: 0.498527039479194
acc: 0.522771007055805, f1: 0.5345515405792098
acc: 0.5086593970493907, f1: 0.5265478364141913
