{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 20, 'learning_rate': 0.001, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 50, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 5403
acc: 0.36626042334830017, f1: 0.3354319210424479
acc: 0.45285439384220655, f1: 0.42971410379675146
acc: 0.4964720974983964, f1: 0.49236248372430025
acc: 0.4939063502245029, f1: 0.4997987140120954
acc: 0.4971135343168698, f1: 0.46659237386914343
acc: 0.5137908915971777, f1: 0.48719823021677866
acc: 0.5291853752405388, f1: 0.5220059771270337
acc: 0.5426555484284797, f1: 0.5077043595067147
acc: 0.5465041693393201, f1: 0.5358625104473583
acc: 0.5439384220654265, f1: 0.5425926093897485
acc: 0.5471456061577935, f1: 0.5418604803463598
acc: 0.5420141116100065, f1: 0.5308031190787736
acc: 0.5381654906991661, f1: 0.5339723154422612
acc: 0.5580500320718409, f1: 0.5610612064062669
acc: 0.5599743425272611, f1: 0.5637797087507812
acc: 0.5535599743425272, f1: 0.5494241202028951
acc: 0.5509942270686338, f1: 0.5412695581711886
acc: 0.5240538806927517, f1: 0.5121551319068846
acc: 0.5272610647851187, f1: 0.5290279649978922
acc: 0.5535599743425272, f1: 0.5346412816965774
acc: 0.5432969852469531, f1: 0.5331606224141799
acc: 0.5375240538806928, f1: 0.5388415527411173
acc: 0.5195638229634381, f1: 0.5326492305314564
acc: 0.5323925593329057, f1: 0.5300468507599677
acc: 0.5407312379730597, f1: 0.55442804122102
acc: 0.5567671584348942, f1: 0.5583145808047466
acc: 0.5484284797947402, f1: 0.5449285871331028
acc: 0.5413726747915331, f1: 0.5150983408167924
acc: 0.5554842847979474, f1: 0.5526260115085494
acc: 0.5426555484284797, f1: 0.559091471479789
