{'activation_type': 'relu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.005, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 50, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 1903
acc: 0.4477228992944195, f1: 0.44928266108408554
acc: 0.4990378447722899, f1: 0.48010917369468176
acc: 0.4759461193072482, f1: 0.4588218003010569
acc: 0.5246953175112251, f1: 0.5206681521812614
acc: 0.5465041693393201, f1: 0.5553986646535858
acc: 0.5195638229634381, f1: 0.4915485623304128
acc: 0.5529185375240538, f1: 0.5444130981513297
acc: 0.5445798588838999, f1: 0.5533167961424192
acc: 0.5381654906991661, f1: 0.5291804515497589
acc: 0.5349583066067992, f1: 0.5352836181553453
acc: 0.5516356638871072, f1: 0.5551210093309187
acc: 0.5105837075048107, f1: 0.49807599067609765
acc: 0.5439384220654265, f1: 0.5330593917667735
acc: 0.5388069275176395, f1: 0.4885765203982985
acc: 0.5509942270686338, f1: 0.5478155143144358
acc: 0.5279025016035921, f1: 0.5096493757666412
acc: 0.5465041693393201, f1: 0.5460544516144534
acc: 0.5208466966003849, f1: 0.5269033106138735
acc: 0.5304682488774856, f1: 0.5229722710015168
acc: 0.5304682488774856, f1: 0.5231199515973735
acc: 0.5465041693393201, f1: 0.5509561100806458
acc: 0.5131494547787043, f1: 0.498423398392179
acc: 0.5259781911481719, f1: 0.5430708699483324
acc: 0.5343168697883258, f1: 0.5429658685373442
acc: 0.5413726747915331, f1: 0.5515890639447141
acc: 0.5080179602309173, f1: 0.5005837419527844
acc: 0.5285439384220654, f1: 0.5543907855886968
acc: 0.5169980756895446, f1: 0.49296733722797226
acc: 0.5195638229634381, f1: 0.5126760998640099
acc: 0.5349583066067992, f1: 0.5573150864927314
