{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 20, 'learning_rate': 0.01, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 5683
acc: 0.40153944836433614, f1: 0.3776136366468053
acc: 0.5054522129570237, f1: 0.5025204804160264
acc: 0.47017318794098784, f1: 0.46783167194088243
acc: 0.4650416933932008, f1: 0.46313306353211015
acc: 0.4913406029506094, f1: 0.49465254132201386
acc: 0.49775497113534317, f1: 0.5055011378393528
acc: 0.5080179602309173, f1: 0.5198282594250329
acc: 0.490699166132136, f1: 0.478228388186057
acc: 0.48877485567671586, f1: 0.4865628375623997
acc: 0.5003207184092366, f1: 0.4963395186369756
acc: 0.4836433611289288, f1: 0.4829736492195412
acc: 0.4939063502245029, f1: 0.4960475345577415
acc: 0.5112251443232841, f1: 0.5342609387381291
acc: 0.4996792815907633, f1: 0.48909587016675093
acc: 0.4836433611289288, f1: 0.5093076039319867
acc: 0.48877485567671586, f1: 0.4792701017555965
acc: 0.49583066067992304, f1: 0.47164125538334634
acc: 0.4939063502245029, f1: 0.5167658653225617
acc: 0.514432328415651, f1: 0.516363399110344
acc: 0.5157152020525978, f1: 0.50750251084897
acc: 0.5054522129570237, f1: 0.5296983167049925
acc: 0.5054522129570237, f1: 0.5013249027630526
acc: 0.4996792815907633, f1: 0.4853723603321089
acc: 0.46824887748556765, f1: 0.4628260342987343
acc: 0.4939063502245029, f1: 0.493853854130855
acc: 0.4810776138550353, f1: 0.4807284744863021
acc: 0.4990378447722899, f1: 0.5079769021714077
acc: 0.49583066067992304, f1: 0.5024271436722713
acc: 0.5086593970493907, f1: 0.4910697289016057
acc: 0.514432328415651, f1: 0.5132315076953141
