{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 20, 'learning_rate': 0.001, 'mean_pool': 15, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 5683
acc: 0.359204618345093, f1: 0.3442254421556866
acc: 0.3880692751763951, f1: 0.3949926268057217
acc: 0.423348300192431, f1: 0.4230345460580432
acc: 0.45349583066067994, f1: 0.46805649517803793
acc: 0.47145606157793457, f1: 0.47815038540029053
acc: 0.48813341885824246, f1: 0.5080187820901514
acc: 0.4842847979474022, f1: 0.48991016435364976
acc: 0.4964720974983964, f1: 0.4682720954746073
acc: 0.47851186658114175, f1: 0.47550635451621553
acc: 0.4817190506735087, f1: 0.49796317688516467
acc: 0.4913406029506094, f1: 0.508596346014372
acc: 0.49839640795381657, f1: 0.5037989468820665
acc: 0.49518922386144965, f1: 0.47553368676351015
acc: 0.4804361770365619, f1: 0.4781264357506309
acc: 0.4990378447722899, f1: 0.49199434748095816
acc: 0.4804361770365619, f1: 0.4879846956083077
acc: 0.4894162924951892, f1: 0.48751933421587595
acc: 0.5048107761385503, f1: 0.4853841056584141
acc: 0.4842847979474022, f1: 0.46280263106406433
acc: 0.5016035920461834, f1: 0.4697463846396764
acc: 0.5067350865939705, f1: 0.4925587184268198
acc: 0.47915330339961515, f1: 0.4906690174386936
acc: 0.5048107761385503, f1: 0.5254004874591415
acc: 0.4900577293136626, f1: 0.48425172898673774
acc: 0.4810776138550353, f1: 0.4922131089894229
acc: 0.5022450288646568, f1: 0.4874775702859115
acc: 0.4990378447722899, f1: 0.47984138757018563
acc: 0.5202052597819115, f1: 0.5497562198793422
acc: 0.5099422706863374, f1: 0.4943385853543873
acc: 0.49583066067992304, f1: 0.5022813106813677
