{'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 10, 'learning_rate': 0.005, 'mean_pool': 25, 'network': 'CNN', 'receptive_field': 25, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 1683
acc: 0.39255933290570877, f1: 0.3732103307942557
acc: 0.43681847338037205, f1: 0.4332435862830094
acc: 0.45862732520846694, f1: 0.4409828459085342
acc: 0.4900577293136626, f1: 0.47889143356411606
acc: 0.5086593970493907, f1: 0.48891100473177845
acc: 0.4919820397690827, f1: 0.5135027945666232
acc: 0.4964720974983964, f1: 0.46225446274270354
acc: 0.5112251443232841, f1: 0.5130441744597123
acc: 0.5150737652341244, f1: 0.5209327077298098
acc: 0.4939063502245029, f1: 0.5011053245556809
acc: 0.517639512508018, f1: 0.5297738536486677
acc: 0.5189223861449648, f1: 0.5145930789726334
acc: 0.5048107761385503, f1: 0.49804491941008333
acc: 0.5163566388710712, f1: 0.5248776678398229
acc: 0.514432328415651, f1: 0.5255156759189673
acc: 0.5060936497754971, f1: 0.5132141878938585
acc: 0.5073765234124439, f1: 0.5104019871015142
acc: 0.5189223861449648, f1: 0.49512155894045595
acc: 0.49518922386144965, f1: 0.4743568711285552
acc: 0.514432328415651, f1: 0.4988683682704219
acc: 0.5048107761385503, f1: 0.4909216579072155
acc: 0.5112251443232841, f1: 0.5196528260973999
acc: 0.5060936497754971, f1: 0.4820031666247635
acc: 0.5208466966003849, f1: 0.5369320032824966
acc: 0.5125080179602309, f1: 0.5173395625260018
acc: 0.4913406029506094, f1: 0.48105146080060274
acc: 0.49454778704297625, f1: 0.5067097320047048
acc: 0.5150737652341244, f1: 0.5031821039727655
acc: 0.5169980756895446, f1: 0.4888424842004718
acc: 0.4932649134060295, f1: 0.4767060101756518
