{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 8, 'learning_rate': 0.005, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 11355
acc: 0.4323284156510584, f1: 0.39387228911057814
acc: 0.5086593970493907, f1: 0.49228122808225855
acc: 0.5490699166132136, f1: 0.5438320299709885
acc: 0.5625400898011546, f1: 0.5443005432932657
acc: 0.4996792815907633, f1: 0.4960050932360068
acc: 0.5458627325208467, f1: 0.5409204896421597
acc: 0.5150737652341244, f1: 0.4989290787935951
acc: 0.5291853752405388, f1: 0.5332448101904466
acc: 0.5118665811417575, f1: 0.5046631629055643
acc: 0.5093008338678641, f1: 0.5149550652744485
acc: 0.5003207184092366, f1: 0.5110414883063719
acc: 0.48877485567671586, f1: 0.4945019018265537
acc: 0.5246953175112251, f1: 0.5204421328349093
acc: 0.47915330339961515, f1: 0.470857193744419
acc: 0.522771007055805, f1: 0.5102501092042717
acc: 0.50096215522771, f1: 0.5045077595940332
acc: 0.48620910840282233, f1: 0.4982644836738467
acc: 0.5118665811417575, f1: 0.4839550145197778
acc: 0.5048107761385503, f1: 0.5217844578160722
acc: 0.5157152020525978, f1: 0.47678758528570686
acc: 0.50096215522771, f1: 0.512451167326749
acc: 0.5086593970493907, f1: 0.5156017993142286
acc: 0.4919820397690827, f1: 0.5001032296706907
acc: 0.4900577293136626, f1: 0.48229703003310487
acc: 0.4656831302116741, f1: 0.4452519822911015
acc: 0.5003207184092366, f1: 0.48219230382640665
acc: 0.4894162924951892, f1: 0.4903978489404013
acc: 0.46824887748556765, f1: 0.4562779691810492
acc: 0.4868505452212957, f1: 0.49237488974384214
acc: 0.4817190506735087, f1: 0.4710745111150178
