{'D': 4, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 70883
acc: 0.3887107119948685, f1: 0.36955950974823387
acc: 0.4669660038486209, f1: 0.46187358444790405
acc: 0.48749198203976907, f1: 0.4870483696939462
acc: 0.49839640795381657, f1: 0.5171443678871859
acc: 0.5022450288646568, f1: 0.48797348831218773
acc: 0.48813341885824246, f1: 0.4871899585027655
acc: 0.5016035920461834, f1: 0.5038384710234266
acc: 0.4842847979474022, f1: 0.49828979248466265
acc: 0.47209749839640797, f1: 0.46079237969680825
acc: 0.4836433611289288, f1: 0.46534617365672154
acc: 0.49583066067992304, f1: 0.47725877646748266
acc: 0.4817190506735087, f1: 0.4736301189708342
acc: 0.4810776138550353, f1: 0.5004495424521025
acc: 0.4926234765875561, f1: 0.4566991702109425
acc: 0.4650416933932008, f1: 0.45706853991991786
acc: 0.45926876202694034, f1: 0.44798405451581724
acc: 0.4830019243104554, f1: 0.46072827395334
acc: 0.4842847979474022, f1: 0.49366532704609345
acc: 0.5086593970493907, f1: 0.4926278032739229
acc: 0.48556767158434894, f1: 0.4899734017074584
acc: 0.4830019243104554, f1: 0.48357794595952747
acc: 0.48620910840282233, f1: 0.46636249479969977
acc: 0.48749198203976907, f1: 0.4978756467990949
acc: 0.477228992944195, f1: 0.4766928034756585
acc: 0.4817190506735087, f1: 0.4598500744207265
acc: 0.48749198203976907, f1: 0.45643370867957256
acc: 0.4971135343168698, f1: 0.5110764531697803
acc: 0.50096215522771, f1: 0.48478958991629545
acc: 0.46824887748556765, f1: 0.4561863459278642
acc: 0.48877485567671586, f1: 0.49823140390833925
