{'D': 4, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 32, 'learning_rate': 0.01, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 272835
acc: 0.4836433611289288, f1: 0.4646151409464539
acc: 0.5182809493264914, f1: 0.48985409379331474
acc: 0.5368826170622194, f1: 0.5167473895061365
acc: 0.517639512508018, f1: 0.4940458187956252
acc: 0.504169339320077, f1: 0.5254023974365806
acc: 0.5272610647851187, f1: 0.5072102289107283
acc: 0.5253367543296985, f1: 0.5373125675159713
acc: 0.49839640795381657, f1: 0.4786959431761493
acc: 0.5234124438742784, f1: 0.5100878427851746
acc: 0.5137908915971777, f1: 0.5036592847713341
acc: 0.5182809493264914, f1: 0.5192320280230527
acc: 0.4939063502245029, f1: 0.5039192848815844
acc: 0.50096215522771, f1: 0.5079613911702504
acc: 0.4913406029506094, f1: 0.4740456353420677
acc: 0.4759461193072482, f1: 0.45839118011104124
acc: 0.4804361770365619, f1: 0.45875739119232734
acc: 0.4509300833867864, f1: 0.45655172104233505
acc: 0.49454778704297625, f1: 0.5027754044537145
acc: 0.4669660038486209, f1: 0.4692294211277611
acc: 0.49839640795381657, f1: 0.48235431004942075
acc: 0.4708146247594612, f1: 0.4665854974067433
acc: 0.4842847979474022, f1: 0.48616050094449065
acc: 0.47979474021808854, f1: 0.4549830741133262
acc: 0.4663245670301475, f1: 0.43780262689851196
acc: 0.47017318794098784, f1: 0.47984877073255977
acc: 0.46889031430404104, f1: 0.44260799204236506
acc: 0.47787042976266836, f1: 0.4790755204116112
acc: 0.47145606157793457, f1: 0.4815730370763453
acc: 0.48877485567671586, f1: 0.46948980306914384
acc: 0.46889031430404104, f1: 0.46367064736144675
