{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.005, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 41139
acc: 0.4868505452212957, f1: 0.49862619466242847
acc: 0.5112251443232841, f1: 0.5245627132016513
acc: 0.5266196279666453, f1: 0.5116487115093112
acc: 0.5157152020525978, f1: 0.5296226518167506
acc: 0.5522771007055804, f1: 0.5839890484041275
acc: 0.5189223861449648, f1: 0.5221182123498135
acc: 0.5189223861449648, f1: 0.49449250509132786
acc: 0.49583066067992304, f1: 0.4825478623643236
acc: 0.5086593970493907, f1: 0.5099475133051521
acc: 0.5093008338678641, f1: 0.4850355594917028
acc: 0.5060936497754971, f1: 0.49920571274880904
acc: 0.5093008338678641, f1: 0.501396988502228
acc: 0.49518922386144965, f1: 0.516106517023168
acc: 0.5028864656831302, f1: 0.5038878901684465
acc: 0.5150737652341244, f1: 0.5183391347946865
acc: 0.48620910840282233, f1: 0.5049664402044595
acc: 0.5349583066067992, f1: 0.5640737826529433
acc: 0.5234124438742784, f1: 0.507874490191116
acc: 0.4817190506735087, f1: 0.46650115775792467
acc: 0.504169339320077, f1: 0.4818354766714687
acc: 0.48877485567671586, f1: 0.4808207625901334
acc: 0.5035279025016036, f1: 0.51021869339323
acc: 0.5028864656831302, f1: 0.4890821690990304
acc: 0.47145606157793457, f1: 0.48613321158312905
acc: 0.47273893521488136, f1: 0.44791159189556995
acc: 0.4804361770365619, f1: 0.45570257095798233
acc: 0.482360487491982, f1: 0.4474915993858422
acc: 0.4804361770365619, f1: 0.4756523144271717
acc: 0.47017318794098784, f1: 0.44921772829007306
acc: 0.463758819756254, f1: 0.4809934304336147
