{'D': 2, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 32, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 71939
acc: 0.4143681847338037, f1: 0.39721582741432393
acc: 0.4663245670301475, f1: 0.4870930181730226
acc: 0.47979474021808854, f1: 0.4727855313008951
acc: 0.4817190506735087, f1: 0.48544502564832664
acc: 0.477228992944195, f1: 0.4964523465516309
acc: 0.4932649134060295, f1: 0.48584776862082507
acc: 0.5028864656831302, f1: 0.5124578292128469
acc: 0.5016035920461834, f1: 0.5014157979562894
acc: 0.5388069275176395, f1: 0.5082170345052398
acc: 0.517639512508018, f1: 0.4827165614606459
acc: 0.5105837075048107, f1: 0.5198881975104823
acc: 0.5259781911481719, f1: 0.5448151128552353
acc: 0.531109685695959, f1: 0.5359606208644597
acc: 0.5304682488774856, f1: 0.5117707926686214
acc: 0.5317511225144324, f1: 0.5446132407590268
acc: 0.5253367543296985, f1: 0.5027647241002794
acc: 0.49839640795381657, f1: 0.5046365745869322
acc: 0.5317511225144324, f1: 0.5118404511171144
acc: 0.5246953175112251, f1: 0.5157651056199715
acc: 0.5112251443232841, f1: 0.49576969145722094
acc: 0.5112251443232841, f1: 0.5079217258757868
acc: 0.5259781911481719, f1: 0.5199378923291839
acc: 0.4964720974983964, f1: 0.4968113650500671
acc: 0.5439384220654265, f1: 0.5192507481050184
acc: 0.49775497113534317, f1: 0.4905822940482562
acc: 0.5125080179602309, f1: 0.5135964472296094
acc: 0.5195638229634381, f1: 0.5429627422838056
acc: 0.517639512508018, f1: 0.5201782308176043
acc: 0.5131494547787043, f1: 0.5102538109719603
acc: 0.5189223861449648, f1: 0.513360672463313
