{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 8, 'learning_rate': 0.005, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 11355
acc: 0.37524053880692754, f1: 0.368699474889013
acc: 0.450288646568313, f1: 0.44264429159732016
acc: 0.5086593970493907, f1: 0.5225724281786921
acc: 0.4990378447722899, f1: 0.4997882047188304
acc: 0.5317511225144324, f1: 0.5501985895281811
acc: 0.5420141116100065, f1: 0.5495199953157718
acc: 0.4990378447722899, f1: 0.4915102232494143
acc: 0.5086593970493907, f1: 0.5268467489307497
acc: 0.5073765234124439, f1: 0.5072755806541366
acc: 0.5163566388710712, f1: 0.5216873581376983
acc: 0.5086593970493907, f1: 0.4755111927958892
acc: 0.5439384220654265, f1: 0.512791252212394
acc: 0.5317511225144324, f1: 0.5115793540225487
acc: 0.4939063502245029, f1: 0.5010596394323023
acc: 0.49775497113534317, f1: 0.48536987261155246
acc: 0.4939063502245029, f1: 0.46926745023172184
acc: 0.48877485567671586, f1: 0.4873494213290575
acc: 0.4964720974983964, f1: 0.49244190633560175
acc: 0.4971135343168698, f1: 0.4746398783895281
acc: 0.4765875561257216, f1: 0.4774598817451828
acc: 0.48749198203976907, f1: 0.47023722830630715
acc: 0.4842847979474022, f1: 0.46103664391245036
acc: 0.45862732520846694, f1: 0.44154008904688036
acc: 0.48620910840282233, f1: 0.5065642790155255
acc: 0.47915330339961515, f1: 0.47537717628629944
acc: 0.49775497113534317, f1: 0.4852494667850351
acc: 0.47017318794098784, f1: 0.4514006629088341
acc: 0.4990378447722899, f1: 0.48532278869914425
acc: 0.45862732520846694, f1: 0.42023046065771424
acc: 0.4900577293136626, f1: 0.48728470907082855
