{'D': 4, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 70883
acc: 0.42976266837716487, f1: 0.4489283355982621
acc: 0.4733803720333547, f1: 0.47925263731544127
acc: 0.4708146247594612, f1: 0.45265579300688763
acc: 0.47851186658114175, f1: 0.46648475150346436
acc: 0.48877485567671586, f1: 0.48406842279661755
acc: 0.504169339320077, f1: 0.49436283941336157
acc: 0.49454778704297625, f1: 0.4967650826378658
acc: 0.48877485567671586, f1: 0.4897482813671155
acc: 0.49839640795381657, f1: 0.4913066385629601
acc: 0.48749198203976907, f1: 0.48415507570634314
acc: 0.4842847979474022, f1: 0.4910351132859481
acc: 0.5080179602309173, f1: 0.5064021240977249
acc: 0.47851186658114175, f1: 0.4871447059537171
acc: 0.477228992944195, f1: 0.4934226969575054
acc: 0.47851186658114175, f1: 0.4707353465680537
acc: 0.5182809493264914, f1: 0.48392585706093066
acc: 0.490699166132136, f1: 0.467975707436516
acc: 0.4804361770365619, f1: 0.4472832099020872
acc: 0.47851186658114175, f1: 0.5023427246008987
acc: 0.4830019243104554, f1: 0.4569600772161021
acc: 0.49775497113534317, f1: 0.515816622787964
acc: 0.46953175112251444, f1: 0.46662216052614375
acc: 0.47530468248877483, f1: 0.4595672530046498
acc: 0.48492623476587554, f1: 0.46786394431299677
acc: 0.5054522129570237, f1: 0.5036988021360955
acc: 0.5099422706863374, f1: 0.5168433419224361
acc: 0.5208466966003849, f1: 0.5212467260677128
acc: 0.49583066067992304, f1: 0.5096526159892546
acc: 0.5022450288646568, f1: 0.5089491802434379
acc: 0.4971135343168698, f1: 0.5029791373320021
