{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 41139
acc: 0.44259140474663244, f1: 0.4359809763517029
acc: 0.4477228992944195, f1: 0.44654419876752527
acc: 0.477228992944195, f1: 0.47419736273251695
acc: 0.4842847979474022, f1: 0.4514162174976687
acc: 0.4817190506735087, f1: 0.4571183089119198
acc: 0.5067350865939705, f1: 0.4683725537952827
acc: 0.4971135343168698, f1: 0.4883016590079299
acc: 0.5028864656831302, f1: 0.5226944573856203
acc: 0.4900577293136626, f1: 0.45846536346624134
acc: 0.4733803720333547, f1: 0.4632975930746021
acc: 0.49583066067992304, f1: 0.5144724449670349
acc: 0.47915330339961515, f1: 0.5006526885615267
acc: 0.4894162924951892, f1: 0.49702463770969324
acc: 0.46311738293778065, f1: 0.45416715828777715
acc: 0.48813341885824246, f1: 0.496654272073963
acc: 0.4804361770365619, f1: 0.4718391554224906
acc: 0.4676074406670943, f1: 0.47122244751839043
acc: 0.47979474021808854, f1: 0.4800340705675447
acc: 0.49454778704297625, f1: 0.48673636784908414
acc: 0.47530468248877483, f1: 0.47194477794410516
acc: 0.4894162924951892, f1: 0.4980389374109092
acc: 0.4810776138550353, f1: 0.4791228624038245
acc: 0.49839640795381657, f1: 0.4717952541324938
acc: 0.4932649134060295, f1: 0.4727456227116421
acc: 0.4894162924951892, f1: 0.491055069607825
acc: 0.49454778704297625, f1: 0.4684182703714372
acc: 0.4830019243104554, f1: 0.4835070794045087
acc: 0.477228992944195, f1: 0.48491871095500855
acc: 0.47979474021808854, f1: 0.48155889551490694
acc: 0.48620910840282233, f1: 0.4739005648775441
