{'D': 2, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 8, 'learning_rate': 0.005, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 5699
acc: 0.404746632456703, f1: 0.4006176020509781
acc: 0.5112251443232841, f1: 0.5167672831052842
acc: 0.531109685695959, f1: 0.5338357116480069
acc: 0.5420141116100065, f1: 0.5169265068207464
acc: 0.5400898011545863, f1: 0.53651159945736
acc: 0.5349583066067992, f1: 0.5242113490424712
acc: 0.5452212957023733, f1: 0.5546134056106287
acc: 0.554842847979474, f1: 0.5846573595605261
acc: 0.5214881334188582, f1: 0.5175152600133818
acc: 0.5375240538806928, f1: 0.5289270181594691
acc: 0.5317511225144324, f1: 0.5297405115141871
acc: 0.5073765234124439, f1: 0.47521212211781033
acc: 0.5022450288646568, f1: 0.48015463579957496
acc: 0.5349583066067992, f1: 0.5361911901484282
acc: 0.5054522129570237, f1: 0.5137019303437045
acc: 0.4964720974983964, f1: 0.47618748109290665
acc: 0.5131494547787043, f1: 0.502611616575192
acc: 0.5240538806927517, f1: 0.539481974514809
acc: 0.5234124438742784, f1: 0.5027180014504894
acc: 0.4990378447722899, f1: 0.5048134161120491
acc: 0.49454778704297625, f1: 0.47283635466833623
acc: 0.5067350865939705, f1: 0.5010019888110557
acc: 0.4817190506735087, f1: 0.48414144128840153
acc: 0.4708146247594612, f1: 0.45699707244017035
acc: 0.482360487491982, f1: 0.5026111097474324
acc: 0.49583066067992304, f1: 0.4988221701665042
acc: 0.4894162924951892, f1: 0.4721862732229035
acc: 0.5195638229634381, f1: 0.5313628722216722
acc: 0.4868505452212957, f1: 0.47712822124859094
acc: 0.4894162924951892, f1: 0.4768025495107707
