{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 32, 'learning_rate': 0.005, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 156003
acc: 0.4804361770365619, f1: 0.4535054188238666
acc: 0.5214881334188582, f1: 0.5071021707140145
acc: 0.4932649134060295, f1: 0.4703183013575854
acc: 0.5182809493264914, f1: 0.5060693266994192
acc: 0.504169339320077, f1: 0.50981837839159
acc: 0.5086593970493907, f1: 0.49642823351600274
acc: 0.5163566388710712, f1: 0.5210448227027136
acc: 0.5125080179602309, f1: 0.5315011709915611
acc: 0.4900577293136626, f1: 0.4777846721150887
acc: 0.5246953175112251, f1: 0.5143711909209167
acc: 0.48813341885824246, f1: 0.4829220176145528
acc: 0.49518922386144965, f1: 0.49719494777270007
acc: 0.47851186658114175, f1: 0.4825867359730314
acc: 0.4919820397690827, f1: 0.45833831764390676
acc: 0.477228992944195, f1: 0.4803556394669523
acc: 0.4971135343168698, f1: 0.49240033342442047
acc: 0.4817190506735087, f1: 0.4703244749011861
acc: 0.4939063502245029, f1: 0.49420356610032024
acc: 0.514432328415651, f1: 0.5143571549599548
acc: 0.5125080179602309, f1: 0.5277867713072806
acc: 0.4842847979474022, f1: 0.4740783033206514
acc: 0.47915330339961515, f1: 0.47545856031972306
acc: 0.4964720974983964, f1: 0.47767223409366316
acc: 0.4836433611289288, f1: 0.45661268520169523
acc: 0.5003207184092366, f1: 0.5027466109675807
acc: 0.49454778704297625, f1: 0.4854667956566411
acc: 0.4836433611289288, f1: 0.5015678816177227
acc: 0.5169980756895446, f1: 0.4948730987110248
acc: 0.4926234765875561, f1: 0.483196608358086
acc: 0.4932649134060295, f1: 0.47923413732724696
