{'D': 2, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 32, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 71939
acc: 0.4124438742783836, f1: 0.41514699798215454
acc: 0.4830019243104554, f1: 0.4912506957842414
acc: 0.47851186658114175, f1: 0.48465089320153515
acc: 0.4579858883899936, f1: 0.44491960749197995
acc: 0.48492623476587554, f1: 0.44522127548498086
acc: 0.4919820397690827, f1: 0.5075203243058429
acc: 0.490699166132136, f1: 0.5042672899699298
acc: 0.514432328415651, f1: 0.5159189328612369
acc: 0.504169339320077, f1: 0.4955969886925467
acc: 0.4830019243104554, f1: 0.4869778031314259
acc: 0.5093008338678641, f1: 0.48001630910383863
acc: 0.49518922386144965, f1: 0.4894341894502418
acc: 0.4964720974983964, f1: 0.48313668820911493
acc: 0.5003207184092366, f1: 0.4738951299723234
acc: 0.48492623476587554, f1: 0.46732424888783664
acc: 0.4926234765875561, f1: 0.49466606498176446
acc: 0.5067350865939705, f1: 0.4938459493947808
acc: 0.47915330339961515, f1: 0.46771511987404224
acc: 0.48749198203976907, f1: 0.468152312636756
acc: 0.49454778704297625, f1: 0.5096440773102133
acc: 0.4804361770365619, f1: 0.47342978437084404
acc: 0.504169339320077, f1: 0.5072141933254317
acc: 0.4765875561257216, f1: 0.4811754597843981
acc: 0.4964720974983964, f1: 0.49665502273002843
acc: 0.47530468248877483, f1: 0.46957415100393274
acc: 0.5195638229634381, f1: 0.5047316108880187
acc: 0.48492623476587554, f1: 0.4811644637935727
acc: 0.47017318794098784, f1: 0.4681591029988428
acc: 0.47787042976266836, f1: 0.4782032819740832
acc: 0.4926234765875561, f1: 0.49602411741744457
