{'D': 2, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 32, 'learning_rate': 0.01, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 71939
acc: 0.4842847979474022, f1: 0.4893366442330506
acc: 0.5169980756895446, f1: 0.5231257535554027
acc: 0.5073765234124439, f1: 0.4770750437351725
acc: 0.5105837075048107, f1: 0.4855231070806378
acc: 0.5509942270686338, f1: 0.5366203136960971
acc: 0.5272610647851187, f1: 0.5060180255552585
acc: 0.4810776138550353, f1: 0.4781001335519298
acc: 0.5003207184092366, f1: 0.4906086529959088
acc: 0.4676074406670943, f1: 0.45519557370592617
acc: 0.48492623476587554, f1: 0.47898587633715356
acc: 0.4765875561257216, f1: 0.4716246452348119
acc: 0.45991019884541373, f1: 0.4509656912139369
acc: 0.4964720974983964, f1: 0.4922944014345985
acc: 0.4393842206542656, f1: 0.4498250101959947
acc: 0.47915330339961515, f1: 0.47083904541953736
acc: 0.47915330339961515, f1: 0.46658925096695114
acc: 0.45349583066067994, f1: 0.4332157629020257
acc: 0.48492623476587554, f1: 0.4968197119756393
acc: 0.46183450930083386, f1: 0.4697501420235926
acc: 0.4656831302116741, f1: 0.44318141874508393
acc: 0.4573444515715202, f1: 0.4448921985576397
acc: 0.4663245670301475, f1: 0.4593703911305407
acc: 0.4913406029506094, f1: 0.4906744901380614
acc: 0.4483643361128929, f1: 0.44049619073132495
acc: 0.44579858883899937, f1: 0.4235892913814155
acc: 0.463758819756254, f1: 0.46751472992740073
acc: 0.4573444515715202, f1: 0.45282024161254336
acc: 0.46889031430404104, f1: 0.46230564060859664
acc: 0.4650416933932008, f1: 0.4608530743337009
acc: 0.4759461193072482, f1: 0.448173269225447
