{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 8, 'learning_rate': 0.01, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 11355
acc: 0.43617703656189866, f1: 0.40524937629774843
acc: 0.5805003207184093, f1: 0.5665294658184351
acc: 0.5574085952533675, f1: 0.5522077515665493
acc: 0.5490699166132136, f1: 0.5166922772622617
acc: 0.4868505452212957, f1: 0.4656603280150522
acc: 0.5529185375240538, f1: 0.5556194482464409
acc: 0.5413726747915331, f1: 0.5252414494723293
acc: 0.568313021167415, f1: 0.5815566764446497
acc: 0.5259781911481719, f1: 0.5139380945695518
acc: 0.5285439384220654, f1: 0.5264637333261872
acc: 0.5439384220654265, f1: 0.5392914148253084
acc: 0.5118665811417575, f1: 0.5134650400000967
acc: 0.5343168697883258, f1: 0.5319493264708497
acc: 0.531109685695959, f1: 0.5349224457893114
acc: 0.5432969852469531, f1: 0.5546534564314648
acc: 0.5343168697883258, f1: 0.5053211377708923
acc: 0.4746632456703015, f1: 0.45394734356562105
acc: 0.5234124438742784, f1: 0.5257443178430824
acc: 0.5060936497754971, f1: 0.5168730561837255
acc: 0.48813341885824246, f1: 0.47935582503498225
acc: 0.48813341885824246, f1: 0.5238735999670102
acc: 0.46824887748556765, f1: 0.46097503391895883
acc: 0.49454778704297625, f1: 0.47968711370198774
acc: 0.482360487491982, f1: 0.4744382765969995
acc: 0.4669660038486209, f1: 0.48251070621635694
acc: 0.4913406029506094, f1: 0.48759744757901263
acc: 0.5016035920461834, f1: 0.5137144707955911
acc: 0.4605516356638871, f1: 0.4678774319212931
acc: 0.48877485567671586, f1: 0.4966723014384966
acc: 0.4836433611289288, f1: 0.45014733470147617
