{'D': 4, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 70883
acc: 0.477228992944195, f1: 0.4792330920230144
acc: 0.5253367543296985, f1: 0.5338749959032147
acc: 0.5195638229634381, f1: 0.538516657430593
acc: 0.4990378447722899, f1: 0.4770923874705511
acc: 0.5150737652341244, f1: 0.4941056383497685
acc: 0.504169339320077, f1: 0.4840107606020648
acc: 0.5195638229634381, f1: 0.5211763586859605
acc: 0.5137908915971777, f1: 0.5198388351031085
acc: 0.4996792815907633, f1: 0.47850801932146564
acc: 0.5208466966003849, f1: 0.5188612478673461
acc: 0.5067350865939705, f1: 0.49909026994850875
acc: 0.4900577293136626, f1: 0.4878212299877182
acc: 0.49518922386144965, f1: 0.5160749495302651
acc: 0.4990378447722899, f1: 0.48014619558293953
acc: 0.50096215522771, f1: 0.48868914194664254
acc: 0.48620910840282233, f1: 0.48394954107487587
acc: 0.49775497113534317, f1: 0.5119027442759326
acc: 0.4765875561257216, f1: 0.4628815680864988
acc: 0.47979474021808854, f1: 0.47606963827194015
acc: 0.4740218088518281, f1: 0.475504598068133
acc: 0.5048107761385503, f1: 0.5142353389091568
acc: 0.5054522129570237, f1: 0.5077366610528721
acc: 0.5003207184092366, f1: 0.4924931616623477
acc: 0.47787042976266836, f1: 0.4761141325912375
acc: 0.5048107761385503, f1: 0.5173115773503745
acc: 0.4765875561257216, f1: 0.4756291166319223
acc: 0.5016035920461834, f1: 0.4988090928203407
acc: 0.47915330339961515, f1: 0.46897568202013945
acc: 0.4964720974983964, f1: 0.5189674354067133
acc: 0.4913406029506094, f1: 0.48698680438033376
