{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 8, 'learning_rate': 0.01, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 11355
acc: 0.5420141116100065, f1: 0.5392584228306416
acc: 0.5035279025016036, f1: 0.4904128042277736
acc: 0.5150737652341244, f1: 0.5139995826893202
acc: 0.49839640795381657, f1: 0.47390668761927934
acc: 0.5067350865939705, f1: 0.5056987418088753
acc: 0.5169980756895446, f1: 0.4994078067503806
acc: 0.48813341885824246, f1: 0.49553804283119557
acc: 0.4926234765875561, f1: 0.47243150176003873
acc: 0.47915330339961515, f1: 0.49445756330467355
acc: 0.450288646568313, f1: 0.4367578789556775
acc: 0.4669660038486209, f1: 0.46338130173860204
acc: 0.45926876202694034, f1: 0.45301649991952136
acc: 0.46311738293778065, f1: 0.4524717901436185
acc: 0.47851186658114175, f1: 0.48343933212500195
acc: 0.49518922386144965, f1: 0.489061807115479
acc: 0.4579858883899936, f1: 0.4650475364646402
acc: 0.4810776138550353, f1: 0.4860666990666293
acc: 0.4650416933932008, f1: 0.47604432832422205
acc: 0.4406670942912123, f1: 0.40757141939761976
acc: 0.4496472097498396, f1: 0.4273080149390056
acc: 0.4663245670301475, f1: 0.4686096431665648
acc: 0.4483643361128929, f1: 0.44930436130768203
acc: 0.4765875561257216, f1: 0.4931458869263396
acc: 0.45862732520846694, f1: 0.46603259667840674
acc: 0.4676074406670943, f1: 0.4830017047745078
acc: 0.46119307248236047, f1: 0.4539741787465075
acc: 0.4656831302116741, f1: 0.44183101501038635
acc: 0.45991019884541373, f1: 0.4417512318520895
acc: 0.4323284156510584, f1: 0.43022792232791257
acc: 0.46119307248236047, f1: 0.4681462435351246
