{'D': 4, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 32, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 272835
acc: 0.4374599101988454, f1: 0.4283752461605303
acc: 0.46183450930083386, f1: 0.443950213480646
acc: 0.4477228992944195, f1: 0.4580468946978242
acc: 0.4804361770365619, f1: 0.4776277917111723
acc: 0.4567030147530468, f1: 0.46320061280810326
acc: 0.4804361770365619, f1: 0.4741784839175334
acc: 0.45991019884541373, f1: 0.4518288267099314
acc: 0.47209749839640797, f1: 0.47047038634318
acc: 0.45157152020525976, f1: 0.45390452127782016
acc: 0.4765875561257216, f1: 0.4439760460843764
acc: 0.46247594611930726, f1: 0.46525424470332694
acc: 0.46247594611930726, f1: 0.46852394879593223
acc: 0.45606157793457347, f1: 0.4458260223348844
acc: 0.46247594611930726, f1: 0.4421478783277096
acc: 0.4669660038486209, f1: 0.4690749403252896
acc: 0.44579858883899937, f1: 0.4548189630185143
acc: 0.46247594611930726, f1: 0.4522692031825583
acc: 0.46824887748556765, f1: 0.47247599715925553
acc: 0.4932649134060295, f1: 0.5067977925126642
acc: 0.46889031430404104, f1: 0.49843973119351054
acc: 0.47273893521488136, f1: 0.46856945057070526
acc: 0.4804361770365619, f1: 0.49366507735331383
acc: 0.47017318794098784, f1: 0.47551086362178147
acc: 0.47915330339961515, f1: 0.4474647251141171
acc: 0.4740218088518281, f1: 0.4699152828252974
acc: 0.4477228992944195, f1: 0.44671960033999675
acc: 0.4765875561257216, f1: 0.4601291219739999
acc: 0.4490057729313663, f1: 0.43935783270154877
acc: 0.4733803720333547, f1: 0.45950387096493117
acc: 0.45862732520846694, f1: 0.4373967632805797
