{'D': 2, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.01, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 19587
acc: 0.504169339320077, f1: 0.45727449416870075
acc: 0.47915330339961515, f1: 0.473642975574884
acc: 0.49454778704297625, f1: 0.4836209374119575
acc: 0.49454778704297625, f1: 0.46028760411429787
acc: 0.45862732520846694, f1: 0.4626865409047255
acc: 0.4644002565747274, f1: 0.47390623291295775
acc: 0.45991019884541373, f1: 0.4424332082686152
acc: 0.4676074406670943, f1: 0.4534460592855073
acc: 0.45349583066067994, f1: 0.4421030186730743
acc: 0.45862732520846694, f1: 0.4550201167748002
acc: 0.4644002565747274, f1: 0.4531865670769852
acc: 0.4509300833867864, f1: 0.4712760262147438
acc: 0.4470814624759461, f1: 0.43952678670132134
acc: 0.4393842206542656, f1: 0.4670402812432438
acc: 0.4650416933932008, f1: 0.4915337724938998
acc: 0.4547787042976267, f1: 0.4430395280764777
acc: 0.43361128928800513, f1: 0.4047897263738484
acc: 0.4547787042976267, f1: 0.47155494491122474
acc: 0.4381013470173188, f1: 0.43903045047960315
acc: 0.44387427838357923, f1: 0.42609507459136153
acc: 0.45157152020525976, f1: 0.43591657578880083
acc: 0.44259140474663244, f1: 0.4378200106966431
acc: 0.46119307248236047, f1: 0.454522390451655
acc: 0.4278383579217447, f1: 0.42081261614115295
acc: 0.44387427838357923, f1: 0.4126844256414004
acc: 0.4490057729313663, f1: 0.4663908813360852
acc: 0.44644002565747276, f1: 0.44958833124661357
acc: 0.4220654265554843, f1: 0.42404678008416663
acc: 0.44323284156510584, f1: 0.44122419110918454
acc: 0.4406670942912123, f1: 0.42827717599563864
