{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 8, 'learning_rate': 0.005, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 11355
acc: 0.50096215522771, f1: 0.5103044492819386
acc: 0.4810776138550353, f1: 0.485121779883174
acc: 0.4676074406670943, f1: 0.49216897993367914
acc: 0.5060936497754971, f1: 0.4905078224148435
acc: 0.48813341885824246, f1: 0.4849553148661399
acc: 0.46824887748556765, f1: 0.47783604590694245
acc: 0.49454778704297625, f1: 0.4998473481442421
acc: 0.517639512508018, f1: 0.5173800820789318
acc: 0.463758819756254, f1: 0.46718041127097987
acc: 0.48620910840282233, f1: 0.46048291189770696
acc: 0.4990378447722899, f1: 0.5068187503583885
acc: 0.4932649134060295, f1: 0.46175565352273085
acc: 0.5035279025016036, f1: 0.48637391290705934
acc: 0.45157152020525976, f1: 0.45593814880090505
acc: 0.44387427838357923, f1: 0.4200047347123214
acc: 0.47273893521488136, f1: 0.4673156267721228
acc: 0.4842847979474022, f1: 0.4561895586180774
acc: 0.4477228992944195, f1: 0.4382619031801248
acc: 0.48492623476587554, f1: 0.4738002172588648
acc: 0.4804361770365619, f1: 0.4620862024585473
acc: 0.44644002565747276, f1: 0.43640147950338676
acc: 0.4567030147530468, f1: 0.43615658580474365
acc: 0.44323284156510584, f1: 0.4238984645434524
acc: 0.44194996792815905, f1: 0.4296952055512505
acc: 0.4554201411161001, f1: 0.4481755864573297
acc: 0.4445157152020526, f1: 0.4426269238704728
acc: 0.4509300833867864, f1: 0.47084107899607697
acc: 0.45349583066067994, f1: 0.41887509521744654
acc: 0.43489416292495187, f1: 0.4275741130283764
acc: 0.4708146247594612, f1: 0.47741296775698494
