{'D': 4, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 32, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 272835
acc: 0.45991019884541373, f1: 0.4569697288960307
acc: 0.514432328415651, f1: 0.5113365580122905
acc: 0.4644002565747274, f1: 0.4526178854636453
acc: 0.5086593970493907, f1: 0.5079256656340772
acc: 0.5246953175112251, f1: 0.5160832708867457
acc: 0.4919820397690827, f1: 0.4944504111536914
acc: 0.4900577293136626, f1: 0.4745590810531363
acc: 0.4964720974983964, f1: 0.485571115331105
acc: 0.4759461193072482, f1: 0.47666990805748466
acc: 0.47145606157793457, f1: 0.467004807467735
acc: 0.5048107761385503, f1: 0.5033107783398185
acc: 0.47851186658114175, f1: 0.4951804812060517
acc: 0.46824887748556765, f1: 0.45862507357613186
acc: 0.4663245670301475, f1: 0.4642213323250047
acc: 0.4746632456703015, f1: 0.4735255327269305
acc: 0.46247594611930726, f1: 0.466641615842296
acc: 0.5202052597819115, f1: 0.5142405667752125
acc: 0.4765875561257216, f1: 0.45977087573487346
acc: 0.46953175112251444, f1: 0.4583644186173203
acc: 0.4810776138550353, f1: 0.473978848805924
acc: 0.45926876202694034, f1: 0.45876716303617115
acc: 0.4663245670301475, f1: 0.4486656123159474
acc: 0.4759461193072482, f1: 0.4674436838474841
acc: 0.4746632456703015, f1: 0.4520226785831604
acc: 0.47915330339961515, f1: 0.45168431604886106
acc: 0.4894162924951892, f1: 0.5099260036905015
acc: 0.45926876202694034, f1: 0.46672771886276715
acc: 0.47530468248877483, f1: 0.453523085720545
acc: 0.45606157793457347, f1: 0.4750807548051725
acc: 0.4663245670301475, f1: 0.47094798940125576
