{'D': 2, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.005, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 19587
acc: 0.50096215522771, f1: 0.48871396208513623
acc: 0.5118665811417575, f1: 0.5083134206576644
acc: 0.522771007055805, f1: 0.5071254025080018
acc: 0.4830019243104554, f1: 0.4796716255836722
acc: 0.5169980756895446, f1: 0.5126419985711324
acc: 0.517639512508018, f1: 0.5064178613884777
acc: 0.4971135343168698, f1: 0.4804290138824974
acc: 0.49775497113534317, f1: 0.4833933175419623
acc: 0.46889031430404104, f1: 0.4464765007365456
acc: 0.49518922386144965, f1: 0.49416376858016825
acc: 0.5003207184092366, f1: 0.4668935677474689
acc: 0.4669660038486209, f1: 0.47557861742371565
acc: 0.4470814624759461, f1: 0.437012318672046
acc: 0.5035279025016036, f1: 0.48124510667072784
acc: 0.48556767158434894, f1: 0.4972256656113479
acc: 0.46119307248236047, f1: 0.4524387995608464
acc: 0.4830019243104554, f1: 0.46508389641445463
acc: 0.4663245670301475, f1: 0.44861635102956676
acc: 0.48620910840282233, f1: 0.4596144609550561
acc: 0.4605516356638871, f1: 0.4732780627941661
acc: 0.46183450930083386, f1: 0.4545952797874145
acc: 0.47017318794098784, f1: 0.4590986178612447
acc: 0.46119307248236047, f1: 0.4596288905380556
acc: 0.4644002565747274, f1: 0.4487410871867628
acc: 0.4817190506735087, f1: 0.48925908082627834
acc: 0.43489416292495187, f1: 0.42081991626773135
acc: 0.45285439384220655, f1: 0.44492009626748946
acc: 0.4656831302116741, f1: 0.4477968604058062
acc: 0.44194996792815905, f1: 0.4328049770355875
acc: 0.4817190506735087, f1: 0.46258251319895977
