{'D': 4, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.01, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 70883
acc: 0.4842847979474022, f1: 0.4726477273593622
acc: 0.5054522129570237, f1: 0.5259371278089865
acc: 0.5016035920461834, f1: 0.49268287946316397
acc: 0.504169339320077, f1: 0.49311582826549216
acc: 0.4765875561257216, f1: 0.47422399617803684
acc: 0.5003207184092366, f1: 0.5227687595100485
acc: 0.4663245670301475, f1: 0.4594633473454906
acc: 0.4926234765875561, f1: 0.46451229314374437
acc: 0.4676074406670943, f1: 0.46787859779117363
acc: 0.5048107761385503, f1: 0.5175192164019708
acc: 0.4836433611289288, f1: 0.4696949417112086
acc: 0.47530468248877483, f1: 0.4663907734573548
acc: 0.45349583066067994, f1: 0.4476105353701259
acc: 0.4644002565747274, f1: 0.4572037511463412
acc: 0.45221295702373315, f1: 0.42851910326651715
acc: 0.490699166132136, f1: 0.4743173938206634
acc: 0.4541372674791533, f1: 0.4574647222141219
acc: 0.46953175112251444, f1: 0.4646268630701913
acc: 0.4650416933932008, f1: 0.4491922897517438
acc: 0.47273893521488136, f1: 0.46404564016265504
acc: 0.4663245670301475, f1: 0.45265390273169753
acc: 0.46247594611930726, f1: 0.4473969211695497
acc: 0.45349583066067994, f1: 0.4524662529900366
acc: 0.4554201411161001, f1: 0.43732120926215906
acc: 0.45991019884541373, f1: 0.4477523035804004
acc: 0.45862732520846694, f1: 0.4439396539098674
acc: 0.4579858883899936, f1: 0.4631757644788313
acc: 0.4740218088518281, f1: 0.4573514736413317
acc: 0.44259140474663244, f1: 0.4330455217983092
acc: 0.45285439384220655, f1: 0.4604229498733822
