{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 8, 'learning_rate': 0.01, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 11355
acc: 0.45349583066067994, f1: 0.446242794691118
acc: 0.5208466966003849, f1: 0.4992970211979137
acc: 0.4964720974983964, f1: 0.5182522649456961
acc: 0.49454778704297625, f1: 0.4652820091742907
acc: 0.5426555484284797, f1: 0.5209178065066997
acc: 0.5259781911481719, f1: 0.5230988629971535
acc: 0.5073765234124439, f1: 0.496889863285514
acc: 0.5048107761385503, f1: 0.49181470108827063
acc: 0.5067350865939705, f1: 0.5071748504904797
acc: 0.504169339320077, f1: 0.5328272423124378
acc: 0.42591404746632455, f1: 0.4081770650411964
acc: 0.4740218088518281, f1: 0.45041319177700345
acc: 0.4759461193072482, f1: 0.4600742029275314
acc: 0.4740218088518281, f1: 0.48589399921065535
acc: 0.47017318794098784, f1: 0.47293475777524246
acc: 0.4804361770365619, f1: 0.47912658722653745
acc: 0.47273893521488136, f1: 0.45319884833929613
acc: 0.47851186658114175, f1: 0.47205309544370955
acc: 0.47530468248877483, f1: 0.5073377040693389
acc: 0.49454778704297625, f1: 0.5004982299810578
acc: 0.4926234765875561, f1: 0.4828924900082159
acc: 0.46889031430404104, f1: 0.4630634834152242
acc: 0.49454778704297625, f1: 0.5079596142887712
acc: 0.4817190506735087, f1: 0.4525032719456557
acc: 0.47787042976266836, f1: 0.46391673244724846
acc: 0.4547787042976267, f1: 0.4619199153211588
acc: 0.4836433611289288, f1: 0.47336326907185416
acc: 0.4669660038486209, f1: 0.4752505299330935
acc: 0.4644002565747274, f1: 0.4764317894581704
acc: 0.4868505452212957, f1: 0.5086559519595376
