{'D': 2, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 19587
acc: 0.4733803720333547, f1: 0.4790800467398983
acc: 0.4708146247594612, f1: 0.4610591063217445
acc: 0.49839640795381657, f1: 0.5141240017819982
acc: 0.48620910840282233, f1: 0.4875063053517346
acc: 0.4894162924951892, f1: 0.47853339058516725
acc: 0.48813341885824246, f1: 0.5006932239211274
acc: 0.4810776138550353, f1: 0.4508307812504101
acc: 0.4765875561257216, f1: 0.4730878739192634
acc: 0.4996792815907633, f1: 0.4710424415981595
acc: 0.49518922386144965, f1: 0.4939415125698269
acc: 0.4868505452212957, f1: 0.4960734172454516
acc: 0.4663245670301475, f1: 0.46300343263909366
acc: 0.5003207184092366, f1: 0.5042020579924587
acc: 0.48620910840282233, f1: 0.48609465825595033
acc: 0.4656831302116741, f1: 0.4577296840404654
acc: 0.482360487491982, f1: 0.4657335702730608
acc: 0.4817190506735087, f1: 0.4729214083397925
acc: 0.48877485567671586, f1: 0.5063053256828003
acc: 0.4900577293136626, f1: 0.4971573555083193
acc: 0.4932649134060295, f1: 0.48501755145866693
acc: 0.4567030147530468, f1: 0.4455360844535549
acc: 0.477228992944195, f1: 0.46384941949082753
acc: 0.477228992944195, f1: 0.4823254479948375
acc: 0.4663245670301475, f1: 0.47190672282684887
acc: 0.5125080179602309, f1: 0.4982440731357434
acc: 0.4669660038486209, f1: 0.417755168362911
acc: 0.48749198203976907, f1: 0.4976376814258285
acc: 0.4573444515715202, f1: 0.4685200531835556
acc: 0.4939063502245029, f1: 0.4771323610485795
acc: 0.48877485567671586, f1: 0.4808872752182848
