{'D': 4, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 8, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 19059
acc: 0.4310455420141116, f1: 0.44353647589782125
acc: 0.4842847979474022, f1: 0.48111051857826564
acc: 0.48556767158434894, f1: 0.4646414193037885
acc: 0.4740218088518281, f1: 0.4420714631272963
acc: 0.4842847979474022, f1: 0.46619339336210436
acc: 0.4663245670301475, f1: 0.45355895112315314
acc: 0.47273893521488136, f1: 0.448232752719793
acc: 0.5086593970493907, f1: 0.5150980804976614
acc: 0.4663245670301475, f1: 0.47151944350125546
acc: 0.4964720974983964, f1: 0.5163720791756997
acc: 0.504169339320077, f1: 0.49438879156890075
acc: 0.4830019243104554, f1: 0.4821303855331829
acc: 0.4913406029506094, f1: 0.4800548033298476
acc: 0.4900577293136626, f1: 0.48886869349451845
acc: 0.48813341885824246, f1: 0.5112307315286821
acc: 0.4810776138550353, f1: 0.4674677702550352
acc: 0.5105837075048107, f1: 0.5207436764402184
acc: 0.49775497113534317, f1: 0.48387798829486933
acc: 0.49839640795381657, f1: 0.5075596405979586
acc: 0.4990378447722899, f1: 0.48603146661388735
acc: 0.490699166132136, f1: 0.49398415352080977
acc: 0.4579858883899936, f1: 0.4409353484405158
acc: 0.47530468248877483, f1: 0.4677013454039283
acc: 0.4926234765875561, f1: 0.4726338930457275
acc: 0.5137908915971777, f1: 0.5247009777445242
acc: 0.504169339320077, f1: 0.48171542236654785
acc: 0.4971135343168698, f1: 0.5137707168025795
acc: 0.4900577293136626, f1: 0.48507784025352435
acc: 0.5080179602309173, f1: 0.516882887733268
acc: 0.5073765234124439, f1: 0.4886735295067163
