{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.005, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 41139
acc: 0.4932649134060295, f1: 0.4988938203110555
acc: 0.4765875561257216, f1: 0.4482283174533223
acc: 0.463758819756254, f1: 0.4658536867453326
acc: 0.4765875561257216, f1: 0.4748520316508838
acc: 0.4939063502245029, f1: 0.5097386793237323
acc: 0.5086593970493907, f1: 0.47566400281709714
acc: 0.4996792815907633, f1: 0.49526289025578984
acc: 0.49454778704297625, f1: 0.4817937197560835
acc: 0.4746632456703015, f1: 0.4597262632565902
acc: 0.47145606157793457, f1: 0.4654999641959371
acc: 0.45862732520846694, f1: 0.46234990603460563
acc: 0.431686978832585, f1: 0.44831354022512554
acc: 0.47017318794098784, f1: 0.4613361929233868
acc: 0.44579858883899937, f1: 0.4447951673523529
acc: 0.44644002565747276, f1: 0.45809623670956573
acc: 0.44644002565747276, f1: 0.4607987453741318
acc: 0.4470814624759461, f1: 0.47312099435329813
acc: 0.4573444515715202, f1: 0.4701452772997091
acc: 0.4400256574727389, f1: 0.43734671699258953
acc: 0.43553559974342526, f1: 0.4557037321040495
acc: 0.4490057729313663, f1: 0.4309321510012492
acc: 0.43489416292495187, f1: 0.444582917740357
acc: 0.4470814624759461, f1: 0.46115853712676785
acc: 0.4579858883899936, f1: 0.4465564654591185
acc: 0.4381013470173188, f1: 0.440736525053758
acc: 0.44515715202052597, f1: 0.41324019756360036
acc: 0.4278383579217447, f1: 0.4362202735242842
acc: 0.4137267479153303, f1: 0.40250013488779773
acc: 0.45221295702373315, f1: 0.44711673346079195
acc: 0.43553559974342526, f1: 0.4313783048783088
