{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 32, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 156003
acc: 0.48877485567671586, f1: 0.4899564735704036
acc: 0.5093008338678641, f1: 0.5028693903907991
acc: 0.4868505452212957, f1: 0.4607519827120096
acc: 0.4996792815907633, f1: 0.499560264473964
acc: 0.48620910840282233, f1: 0.48395493823418406
acc: 0.4733803720333547, f1: 0.4478543129929791
acc: 0.4939063502245029, f1: 0.49165486430020217
acc: 0.4676074406670943, f1: 0.4695580977156356
acc: 0.47851186658114175, f1: 0.48876042438552886
acc: 0.504169339320077, f1: 0.48599443323955854
acc: 0.4932649134060295, f1: 0.4897857867064694
acc: 0.490699166132136, f1: 0.4753865911582209
acc: 0.47851186658114175, f1: 0.4880389604524904
acc: 0.450288646568313, f1: 0.4383643952726596
acc: 0.4656831302116741, f1: 0.46046333859128813
acc: 0.4656831302116741, f1: 0.4546637879945509
acc: 0.4830019243104554, f1: 0.48132149813239705
acc: 0.490699166132136, f1: 0.5033882349937728
acc: 0.45221295702373315, f1: 0.43282618307754184
acc: 0.463758819756254, f1: 0.48119995385853614
acc: 0.4759461193072482, f1: 0.47264216647179014
acc: 0.4656831302116741, f1: 0.451136698325198
acc: 0.46953175112251444, f1: 0.46573869702794973
acc: 0.4547787042976267, f1: 0.46575585609980313
acc: 0.45221295702373315, f1: 0.45810040987348594
acc: 0.46247594611930726, f1: 0.4567185908545071
acc: 0.47915330339961515, f1: 0.48903209102809114
acc: 0.463758819756254, f1: 0.452906648270543
acc: 0.4547787042976267, f1: 0.44627455208339656
acc: 0.46953175112251444, f1: 0.445606072368113
