{'D': 4, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.1, 'epochs': 30, 'filter_sizing': 32, 'learning_rate': 0.01, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 272835
acc: 0.4804361770365619, f1: 0.462840184023038
acc: 0.5099422706863374, f1: 0.49702732680418554
acc: 0.5118665811417575, f1: 0.5076730647467944
acc: 0.49518922386144965, f1: 0.4863985350830929
acc: 0.47787042976266836, f1: 0.488957514392404
acc: 0.47851186658114175, f1: 0.47212484179413144
acc: 0.4579858883899936, f1: 0.4557028445850726
acc: 0.463758819756254, f1: 0.4486648773169786
acc: 0.4913406029506094, f1: 0.45813224358779936
acc: 0.41693393200769724, f1: 0.4016500083870415
acc: 0.4483643361128929, f1: 0.44983040021565757
acc: 0.450288646568313, f1: 0.4374536186539988
acc: 0.4342527261064785, f1: 0.4245326690570688
acc: 0.4413085311096857, f1: 0.42181930508357696
acc: 0.4509300833867864, f1: 0.4536601863906241
acc: 0.45862732520846694, f1: 0.4566938324864142
acc: 0.4573444515715202, f1: 0.41789782294255656
acc: 0.4239897370109044, f1: 0.4113902561872784
acc: 0.4278383579217447, f1: 0.41767076813740506
acc: 0.4252726106478512, f1: 0.43099531099456223
acc: 0.47145606157793457, f1: 0.47772522528759737
acc: 0.4387427838357922, f1: 0.43909634093585165
acc: 0.44644002565747276, f1: 0.44295907827964476
acc: 0.44323284156510584, f1: 0.4269787595970357
acc: 0.42719692110327134, f1: 0.4149273790031404
acc: 0.4573444515715202, f1: 0.46392307917341086
acc: 0.43489416292495187, f1: 0.41382913254519743
acc: 0.41757536882617063, f1: 0.3845916522280799
acc: 0.45926876202694034, f1: 0.4807606993351751
acc: 0.463758819756254, f1: 0.4518123034941725
