{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 41139
acc: 0.4990378447722899, f1: 0.4904331892712519
acc: 0.5118665811417575, f1: 0.5053404620765584
acc: 0.5221295702373316, f1: 0.5262700023107408
acc: 0.5445798588838999, f1: 0.5335085330569036
acc: 0.5336754329698524, f1: 0.5282213241589874
acc: 0.5291853752405388, f1: 0.5193344940930447
acc: 0.5323925593329057, f1: 0.5100322357028959
acc: 0.5118665811417575, f1: 0.5184222226119896
acc: 0.517639512508018, f1: 0.5075668775449562
acc: 0.5394483643361129, f1: 0.5268081227030611
acc: 0.5375240538806928, f1: 0.5307284581033928
acc: 0.5163566388710712, f1: 0.5085880951504894
acc: 0.5234124438742784, f1: 0.5198552215669141
acc: 0.5163566388710712, f1: 0.5223692403729209
acc: 0.5355997434252726, f1: 0.5111619492634037
acc: 0.514432328415651, f1: 0.5373519381193821
acc: 0.5022450288646568, f1: 0.4968971664763175
acc: 0.522771007055805, f1: 0.5243694571218278
acc: 0.5202052597819115, f1: 0.5342337809641962
acc: 0.4919820397690827, f1: 0.48406380070090627
acc: 0.5073765234124439, f1: 0.5137072404840393
acc: 0.5157152020525978, f1: 0.5153672914222073
acc: 0.5234124438742784, f1: 0.5343343766233521
acc: 0.5016035920461834, f1: 0.4734279223737533
acc: 0.5093008338678641, f1: 0.5348788107665167
acc: 0.4964720974983964, f1: 0.5011404080689409
acc: 0.5054522129570237, f1: 0.5394654341428268
acc: 0.5150737652341244, f1: 0.5313433481864299
acc: 0.5048107761385503, f1: 0.5093641704816827
acc: 0.5234124438742784, f1: 0.5138280745652775
