{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.4, 'epochs': 30, 'filter_sizing': 8, 'learning_rate': 0.01, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 11355
acc: 0.43553559974342526, f1: 0.4108068064105213
acc: 0.5208466966003849, f1: 0.5104201556136593
acc: 0.5349583066067992, f1: 0.5381608563297198
acc: 0.5125080179602309, f1: 0.5176124431032433
acc: 0.49775497113534317, f1: 0.48424270084917886
acc: 0.47979474021808854, f1: 0.46123344494658414
acc: 0.48813341885824246, f1: 0.47611095479022353
acc: 0.4926234765875561, f1: 0.4993826314360688
acc: 0.5118665811417575, f1: 0.49619422842544686
acc: 0.4939063502245029, f1: 0.4940399593736376
acc: 0.4644002565747274, f1: 0.4578269966319007
acc: 0.4919820397690827, f1: 0.5015102208684278
acc: 0.4810776138550353, f1: 0.479237001440137
acc: 0.5099422706863374, f1: 0.5010369995907339
acc: 0.5137908915971777, f1: 0.5133673423367527
acc: 0.46311738293778065, f1: 0.44428488686004874
acc: 0.4996792815907633, f1: 0.49637510241935157
acc: 0.4746632456703015, f1: 0.46673990880504135
acc: 0.504169339320077, f1: 0.5094975384984641
acc: 0.4926234765875561, f1: 0.4856909078452353
acc: 0.46953175112251444, f1: 0.45483151883045864
acc: 0.5067350865939705, f1: 0.4909725227512037
acc: 0.4830019243104554, f1: 0.5050605137973004
acc: 0.48492623476587554, f1: 0.49608679297359226
acc: 0.49839640795381657, f1: 0.4826743669678833
acc: 0.4868505452212957, f1: 0.45358343392871536
acc: 0.4746632456703015, f1: 0.45476102848692135
acc: 0.47851186658114175, f1: 0.49343426499459586
acc: 0.50096215522771, f1: 0.5032486257290386
acc: 0.4554201411161001, f1: 0.44943407326449325
