{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 8, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 11355
acc: 0.4150096215522771, f1: 0.3884193655347556
acc: 0.450288646568313, f1: 0.4361182979409582
acc: 0.48813341885824246, f1: 0.4902661693294837
acc: 0.4919820397690827, f1: 0.5128447197184968
acc: 0.4996792815907633, f1: 0.5170926755436357
acc: 0.4817190506735087, f1: 0.4989253600742933
acc: 0.4817190506735087, f1: 0.45551481698730395
acc: 0.5048107761385503, f1: 0.49847995406395323
acc: 0.4900577293136626, f1: 0.4776058875205818
acc: 0.4939063502245029, f1: 0.47536493298089644
acc: 0.477228992944195, f1: 0.47715805162488695
acc: 0.4996792815907633, f1: 0.48225401950243046
acc: 0.49583066067992304, f1: 0.4893011568970322
acc: 0.48492623476587554, f1: 0.48129083327758243
acc: 0.490699166132136, f1: 0.49940830899105715
acc: 0.5086593970493907, f1: 0.5132148755016691
acc: 0.5035279025016036, f1: 0.5116865644283614
acc: 0.4830019243104554, f1: 0.4851678695569262
acc: 0.4971135343168698, f1: 0.5075000402647107
acc: 0.49454778704297625, f1: 0.5042648454469948
acc: 0.5016035920461834, f1: 0.5206072779630732
acc: 0.4926234765875561, f1: 0.48882093245703534
acc: 0.4913406029506094, f1: 0.49532037073664065
acc: 0.4996792815907633, f1: 0.48254168251821966
acc: 0.5060936497754971, f1: 0.5127192257620086
acc: 0.4894162924951892, f1: 0.4702669031808712
acc: 0.4894162924951892, f1: 0.47515875841664607
acc: 0.47209749839640797, f1: 0.4852816116225639
acc: 0.49454778704297625, f1: 0.4833113414149085
acc: 0.48877485567671586, f1: 0.49468659760028516
