{'D': 2, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 16, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 19587
acc: 0.4810776138550353, f1: 0.505491395049053
acc: 0.4926234765875561, f1: 0.49934798653865586
acc: 0.49518922386144965, f1: 0.4602401031447893
acc: 0.49518922386144965, f1: 0.5121095363705647
acc: 0.482360487491982, f1: 0.4981560819552241
acc: 0.5073765234124439, f1: 0.4959642228583138
acc: 0.48620910840282233, f1: 0.490363014101978
acc: 0.4919820397690827, f1: 0.4845486070068258
acc: 0.5060936497754971, f1: 0.5482281615326642
acc: 0.5054522129570237, f1: 0.49163550450666355
acc: 0.4804361770365619, f1: 0.48892130660428484
acc: 0.477228992944195, f1: 0.47713677714561253
acc: 0.5022450288646568, f1: 0.519333977214027
acc: 0.4894162924951892, f1: 0.4999702930812161
acc: 0.4836433611289288, f1: 0.4923368690689895
acc: 0.5048107761385503, f1: 0.5123190979947128
acc: 0.49839640795381657, f1: 0.505901777507338
acc: 0.4868505452212957, f1: 0.5072584869486839
acc: 0.5016035920461834, f1: 0.4953529863030551
acc: 0.5073765234124439, f1: 0.48841748423312215
acc: 0.5157152020525978, f1: 0.5062463977799182
acc: 0.5137908915971777, f1: 0.536574309191697
acc: 0.5240538806927517, f1: 0.5289738396038705
acc: 0.4932649134060295, f1: 0.4721219567288153
acc: 0.4939063502245029, f1: 0.5186645252549451
acc: 0.517639512508018, f1: 0.5047690902813973
acc: 0.49454778704297625, f1: 0.5013218419244101
acc: 0.49839640795381657, f1: 0.4695056232145323
acc: 0.4650416933932008, f1: 0.45724846058935026
acc: 0.4830019243104554, f1: 0.4923359851892428
