{'D': 3, 'activation_type': 'elu', 'batch_size': 256, 'dropout': 0.25, 'epochs': 30, 'filter_sizing': 8, 'learning_rate': 0.001, 'mean_pool': 8, 'network': 'EEGNET', 'receptive_field': 64, 'seed': 42, 'val_subjects': ['X04', 'X06']}
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X02_deep.pkl...
Current length of X train: 1556.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X03_deep.pkl...
Current length of X train: 2329.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X04_deep.pkl...
Current length of X train: 2329.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X05_deep.pkl...
Current length of X train: 3109.
Current length of X val: 779.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X06_deep.pkl...
Current length of X train: 3109.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X07_deep.pkl...
Current length of X train: 3887.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X08_deep.pkl...
Current length of X train: 4667.
Current length of X val: 1559.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_8_35Hz\X09_deep.pkl...
Current length of X train: 5447.
Current length of X val: 1559.
trainable parameters: 11355
acc: 0.42976266837716487, f1: 0.4329312244211658
acc: 0.4804361770365619, f1: 0.4452512128217035
acc: 0.48620910840282233, f1: 0.4952500169652855
acc: 0.4836433611289288, f1: 0.5098221083949677
acc: 0.4932649134060295, f1: 0.4964892155741076
acc: 0.49775497113534317, f1: 0.48403482989432434
acc: 0.5131494547787043, f1: 0.5259734746126037
acc: 0.5035279025016036, f1: 0.5256532834804065
acc: 0.5067350865939705, f1: 0.5289869674570468
acc: 0.4669660038486209, f1: 0.4725258320603178
acc: 0.48556767158434894, f1: 0.4730310301502089
acc: 0.47851186658114175, f1: 0.4776424591738945
acc: 0.5150737652341244, f1: 0.5222333558206375
acc: 0.5003207184092366, f1: 0.49363645385936394
acc: 0.5086593970493907, f1: 0.5263770035734786
acc: 0.48749198203976907, f1: 0.47590497230459755
acc: 0.5054522129570237, f1: 0.5185922116519519
acc: 0.49518922386144965, f1: 0.5092865237163313
acc: 0.48620910840282233, f1: 0.50753108031924
acc: 0.477228992944195, f1: 0.44990251598899256
acc: 0.5003207184092366, f1: 0.5037436049786973
acc: 0.46889031430404104, f1: 0.47742532538688803
acc: 0.4900577293136626, f1: 0.49502722306160296
acc: 0.4996792815907633, f1: 0.4929706810145367
acc: 0.46889031430404104, f1: 0.45775594989276547
acc: 0.47851186658114175, f1: 0.4657359758867975
acc: 0.45991019884541373, f1: 0.4724855588517819
acc: 0.48877485567671586, f1: 0.4735376693465242
acc: 0.4759461193072482, f1: 0.4718585044450796
acc: 0.48556767158434894, f1: 0.5083714785992074
