{'batch_size': 256, 'epochs': 30, 'receptive_field': 64, 'mean_pool': 8, 'activation_type': 'elu', 'network': 'EEGNET', 'val_subjects': ['X06', 'X02'], 'test_subject': 'X07', 'seed': 42, 'learning_rate': 0.001, 'filter_sizing': 8, 'D': 2, 'dropout': 0.4}
X07
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X01_deep.pkl...
Current length of X train: 780.
Current length of X val: 0.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X02_deep.pkl...
Current length of X train: 780.
Current length of X val: 776.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X03_deep.pkl...
Current length of X train: 1553.
Current length of X val: 776.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X04_deep.pkl...
Current length of X train: 2332.
Current length of X val: 776.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X05_deep.pkl...
Current length of X train: 3112.
Current length of X val: 776.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X06_deep.pkl...
Current length of X train: 3112.
Current length of X val: 1556.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X07_deep.pkl...
Current length of X train: 3112.
Current length of X val: 1556.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X08_deep.pkl...
Current length of X train: 3892.
Current length of X val: 1556.
Adding data for data\openloop\intermediate_datafiles\preprocess\TL_1_100Hz\X09_deep.pkl...
Current length of X train: 4672.
Current length of X val: 1556.
trainable parameters: 1955
acc: 0.35475578406169667, f1: 0.3527987517991403
acc: 0.36632390745501286, f1: 0.32686744210800217
acc: 0.37017994858611825, f1: 0.3660261957496186
acc: 0.4055269922879177, f1: 0.4143500898355787
acc: 0.4434447300771208, f1: 0.44403703885368545
acc: 0.4897172236503856, f1: 0.4930669121281404
acc: 0.5482005141388174, f1: 0.5163755401661809
acc: 0.5694087403598972, f1: 0.5732262540573018
acc: 0.5803341902313625, f1: 0.5932853071382669
acc: 0.5854755784061697, f1: 0.5454678298810423
acc: 0.5880462724935732, f1: 0.5865044863464133
acc: 0.6060411311053985, f1: 0.6129146138086197
acc: 0.6266066838046273, f1: 0.6279355072305838
acc: 0.5931876606683805, f1: 0.5868083288355853
acc: 0.5822622107969152, f1: 0.5766663818959838
acc: 0.5809768637532133, f1: 0.5843808035071014
acc: 0.5912596401028277, f1: 0.57934582170134
acc: 0.6021850899742931, f1: 0.5920856146250829
acc: 0.5944730077120822, f1: 0.5765416958280051
acc: 0.5919023136246787, f1: 0.5694820457885307
acc: 0.6143958868894601, f1: 0.6092374524538282
acc: 0.6015424164524421, f1: 0.5777666340941539
acc: 0.6008997429305912, f1: 0.5924330527702367
acc: 0.5919023136246787, f1: 0.589245946818654
acc: 0.5867609254498715, f1: 0.577920603760788
acc: 0.5919023136246787, f1: 0.5965955442974973
acc: 0.5854755784061697, f1: 0.5593689601700544
acc: 0.5816195372750642, f1: 0.5449431503647062
acc: 0.5996143958868895, f1: 0.6138336484321396
acc: 0.5886889460154242, f1: 0.5638096286989337
